alerta_id,tipo_alerta,severidad,score_alerta,estado,descripcion,fecha_creacion,fecha_cierre,es_falso_positivo,reglas_disparadas,acciones_recomendadas,analista_asignado
AL0000018,DISPOSITIVO_COMPROMETIDO,5,0.94,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0003088,2026-01-21T03:17:07Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_01
AL0000019,ALTO_MONTO_INTERNACIONAL,5,0.89,CERRADA,Alerta generada por ALTO_MONTO_INTERNACIONAL en transaccion TX0001205,2025-10-26T02:47:20Z,2025-11-01,false,R1_ALTO_MONTO_INTL|R7_GEO_MISMATCH|R8_HIGH_VALUE,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_10
AL0000020,DISPOSITIVO_COMPROMETIDO,5,0.95,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006017,2025-12-30T18:39:30Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_06
AL0000021,PATRON_SOSPECHOSO,5,0.87,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0007615,2026-01-19T01:35:51Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000022,DISPOSITIVO_COMPROMETIDO,5,0.85,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006620,2026-03-10T02:44:38Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_18
AL0000023,DISPOSITIVO_COMPROMETIDO,5,0.92,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0000040,2025-11-17T10:29:41Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000024,VELOCIDAD_ANOMALA,5,0.93,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0004910,2026-03-05T02:37:42Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_16
AL0000025,VELOCIDAD_ANOMALA,5,0.86,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0004641,2026-03-12T07:14:54Z,,true,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_17
AL0000026,DISPOSITIVO_COMPROMETIDO,5,0.94,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0008021,2025-11-15T13:51:20Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_13
AL0000027,VELOCIDAD_ANOMALA,5,0.94,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0006371,2025-11-30T01:18:16Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_18
AL0000028,DISPOSITIVO_COMPROMETIDO,5,0.92,CERRADA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0003233,2025-12-21T17:48:20Z,2025-12-27,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_21
AL0000029,DISPOSITIVO_COMPROMETIDO,5,0.85,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006167,2026-01-05T07:56:34Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_10
AL0000030,DISPOSITIVO_COMPROMETIDO,5,0.88,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0008653,2026-01-08T19:57:13Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000031,PATRON_SOSPECHOSO,5,0.87,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0000497,2026-02-04T03:39:16Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000032,VELOCIDAD_ANOMALA,5,0.85,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0006022,2026-02-22T15:16:50Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000033,VELOCIDAD_ANOMALA,5,0.88,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0003893,2025-12-05T00:26:04Z,,false,R2_VELOCIDAD,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_17
AL0000034,DISPOSITIVO_COMPROMETIDO,5,0.86,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006818,2025-12-13T19:17:43Z,,true,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000035,VELOCIDAD_ANOMALA,5,0.83,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0001509,2025-12-18T04:22:49Z,,true,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_16
AL0000036,PATRON_SOSPECHOSO,5,0.91,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0006605,2025-12-25T03:39:21Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000037,PATRON_SOSPECHOSO,5,0.92,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0002724,2026-01-27T00:22:40Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_16
AL0000038,PATRON_SOSPECHOSO,5,0.85,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0004702,2026-02-03T03:01:57Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_11
AL0000039,DISPOSITIVO_COMPROMETIDO,4,0.81,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0002278,2025-10-23T13:01:59Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000040,DISPOSITIVO_COMPROMETIDO,4,0.85,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0005584,2025-10-23T23:11:08Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_01
AL0000041,DISPOSITIVO_COMPROMETIDO,4,0.90,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0001705,2025-12-08T03:50:31Z,,false,R4_DISPOSITIVO,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_15
AL0000042,DISPOSITIVO_COMPROMETIDO,4,0.83,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0007872,2025-12-12T18:46:29Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_22
AL0000043,DISPOSITIVO_COMPROMETIDO,4,0.91,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0005486,2025-12-20T01:55:32Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000044,PATRON_SOSPECHOSO,4,0.90,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0002349,2025-12-29T04:47:12Z,,false,R5_PATRON_RED|R8_HIGH_VALUE,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_21
AL0000045,VELOCIDAD_ANOMALA,4,0.88,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0004677,2026-01-07T19:52:20Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_01
AL0000046,VELOCIDAD_ANOMALA,4,0.91,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0000372,2026-01-27T02:04:40Z,,false,R2_VELOCIDAD,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_15
AL0000047,PATRON_SOSPECHOSO,4,0.81,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0006708,2026-02-09T01:06:24Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_17
AL0000048,DISPOSITIVO_COMPROMETIDO,4,0.90,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0003819,2026-02-14T02:33:14Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_10
AL0000049,ALTO_MONTO_INTERNACIONAL,4,0.89,ABIERTA,Alerta generada por ALTO_MONTO_INTERNACIONAL en transaccion TX0007692,2026-02-25T20:00:23Z,,false,R1_ALTO_MONTO_INTL|R7_GEO_MISMATCH|R8_HIGH_VALUE,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_06
AL0000050,VELOCIDAD_ANOMALA,4,0.82,CERRADA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0003979,2026-02-28T07:48:54Z,2026-03-05,false,R2_VELOCIDAD,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_15
AL0000051,VELOCIDAD_ANOMALA,4,0.83,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0003657,2026-03-11T02:43:47Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_03
AL0000052,PATRON_SOSPECHOSO,4,0.86,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0007020,2026-04-12T04:19:09Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_18
AL0000053,PATRON_SOSPECHOSO,4,0.86,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0003310,2026-04-13T23:13:26Z,,true,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_08
AL0000054,ALTO_MONTO_INTERNACIONAL,4,0.90,EN_INVESTIGACION,Alerta generada por ALTO_MONTO_INTERNACIONAL en transaccion TX0000359,2026-04-16T04:04:50Z,,false,R1_ALTO_MONTO_INTL|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_09
AL0000055,DISPOSITIVO_COMPROMETIDO,4,0.87,CERRADA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0003462,2025-11-14T15:51:30Z,2025-11-25,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_17
AL0000056,PATRON_SOSPECHOSO,4,0.85,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0004493,2025-12-19T23:52:29Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_06
AL0000057,DISPOSITIVO_COMPROMETIDO,4,0.89,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006644,2025-12-28T02:39:59Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_21
AL0000058,DISPOSITIVO_COMPROMETIDO,4,0.83,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0003229,2025-12-29T15:43:31Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_01
AL0000059,PATRON_SOSPECHOSO,4,0.80,CERRADA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0006398,2026-01-16T23:39:24Z,2026-01-28,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_02
AL0000060,VELOCIDAD_ANOMALA,4,0.90,CERRADA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0000440,2026-02-15T06:24:03Z,2026-02-17,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_05
AL0000061,VELOCIDAD_ANOMALA,4,0.86,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0008883,2026-03-06T00:31:56Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_08
AL0000062,DISPOSITIVO_COMPROMETIDO,4,0.89,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0001578,2026-04-16T06:22:35Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_22
AL0000063,PATRON_SOSPECHOSO,4,0.85,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0004823,2025-10-27T23:23:55Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_11
AL0000064,DISPOSITIVO_COMPROMETIDO,4,0.86,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0007008,2025-11-03T20:37:13Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_18
AL0000065,DISPOSITIVO_COMPROMETIDO,4,0.83,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0002554,2025-11-21T23:50:14Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_08
AL0000066,DISPOSITIVO_COMPROMETIDO,4,0.84,CERRADA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0008855,2025-12-26T01:05:26Z,2025-12-31,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_06
AL0000067,PATRON_SOSPECHOSO,4,0.85,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0003412,2026-01-02T23:40:59Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_10
AL0000068,VELOCIDAD_ANOMALA,4,0.83,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0002876,2026-01-30T05:37:23Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_06
AL0000069,COMERCIO_BLACKLIST,4,0.78,ABIERTA,Alerta generada por COMERCIO_BLACKLIST en transaccion TX0007861,2026-02-05T08:57:30Z,,false,R3_COMERCIO_BLACKLIST|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_11
AL0000070,VELOCIDAD_ANOMALA,4,0.84,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0008444,2026-02-21T06:12:51Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_16
AL0000071,DISPOSITIVO_COMPROMETIDO,4,0.81,CERRADA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0003576,2026-02-26T05:43:39Z,2026-03-05,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_21
AL0000072,DISPOSITIVO_COMPROMETIDO,4,0.84,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0001952,2026-03-15T14:33:26Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_04
AL0000073,VELOCIDAD_ANOMALA,4,0.81,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0000778,2026-03-29T15:36:44Z,,true,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_03
AL0000074,DISPOSITIVO_COMPROMETIDO,4,0.81,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0008929,2026-03-31T22:25:51Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000075,VELOCIDAD_ANOMALA,4,0.84,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0003030,2026-04-05T23:16:29Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_22
AL0000076,DISPOSITIVO_COMPROMETIDO,4,0.80,CERRADA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0008613,2026-04-19T02:10:45Z,2026-04-28,false,R4_DISPOSITIVO,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_20
AL0000077,COMERCIO_BLACKLIST,4,0.78,ABIERTA,Alerta generada por COMERCIO_BLACKLIST en transaccion TX0004390,2026-04-19T23:55:45Z,,false,R3_COMERCIO_BLACKLIST|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_21
AL0000078,VELOCIDAD_ANOMALA,4,0.82,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0002943,2026-04-21T02:28:58Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_21
AL0000079,PATRON_SOSPECHOSO,4,0.85,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0004803,2025-10-27T02:20:40Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_03
AL0000080,DISPOSITIVO_COMPROMETIDO,4,0.82,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006617,2025-10-30T22:01:56Z,,true,R4_DISPOSITIVO,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000081,PATRON_SOSPECHOSO,4,0.78,ABIERTA,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0001298,2025-11-01T20:32:22Z,,true,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_08
AL0000082,VELOCIDAD_ANOMALA,4,0.83,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0001638,2025-11-06T14:06:14Z,,true,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_17
AL0000083,DISPOSITIVO_COMPROMETIDO,4,0.83,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0006433,2025-11-17T06:44:54Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000084,DISPOSITIVO_COMPROMETIDO,4,0.82,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0000337,2025-11-20T04:29:08Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_09
AL0000085,COMERCIO_BLACKLIST,4,0.84,EN_INVESTIGACION,Alerta generada por COMERCIO_BLACKLIST en transaccion TX0004930,2025-11-24T00:46:52Z,,false,R3_COMERCIO_BLACKLIST|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_03
AL0000086,DISPOSITIVO_COMPROMETIDO,4,0.79,ABIERTA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0002228,2025-11-28T14:27:25Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_10
AL0000087,COMERCIO_BLACKLIST,4,0.87,EN_INVESTIGACION,Alerta generada por COMERCIO_BLACKLIST en transaccion TX0001626,2025-12-06T11:19:40Z,,false,R3_COMERCIO_BLACKLIST|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_18
AL0000088,ALTO_MONTO_INTERNACIONAL,4,0.88,ABIERTA,Alerta generada por ALTO_MONTO_INTERNACIONAL en transaccion TX0002690,2025-12-15T20:06:49Z,,false,R1_ALTO_MONTO_INTL|R7_GEO_MISMATCH|R8_HIGH_VALUE,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_11
AL0000089,VELOCIDAD_ANOMALA,4,0.79,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0001062,2026-02-03T01:04:03Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_01
AL0000090,VELOCIDAD_ANOMALA,4,0.85,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0001851,2026-02-06T23:57:17Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_09
AL0000091,PATRON_SOSPECHOSO,4,0.88,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0006784,2026-02-10T09:00:32Z,,true,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
