dispositivo_id,fingerprint,tipo_dispositivo,sistema_operativo,app_version,ip_publica,imei_hash,rooteado,emulador,idiomas,fecha_registro,ultima_actividad,confianza
D000011,fp_2ad3641ecc09d677eca8,MOBILE,iOS 17,4.11.8,99.196.47.197,h_19e870c7ead74eb5d73ae0,false,false,es-GT|en-US,2024-08-16,2026-02-24T23:13:44Z,0.95
D000012,fp_72bbed2213f72aff1b73,LAPTOP,Windows 10,4.15.5,60.195.188.241,h_70fba6f8f477de855b061e,false,true,es-GT,2020-07-26,2026-03-30T16:18:58Z,0.67
D000013,fp_1c9ab3383fb039f2d012,LAPTOP,Windows 11,3.6.5,86.133.180.54,h_f5786fb7c9d78fbaffde38,false,false,es-GT,2022-10-11,2026-01-18T05:50:56Z,0.73
D000014,fp_ae39229be3b3a92db560,MOBILE,iOS 17,2.8.6,55.170.42.237,h_8ede371c823c1e2df8d238,false,false,es-GT,2021-09-17,2026-02-12T07:54:33Z,0.98
D000015,fp_ca83931d0ecefbc382d5,MOBILE,Android 14,3.20.6,54.83.12.105,h_6ab2549bcaa904a0cca1b8,false,false,es-GT|en-US,2022-12-29,2026-01-17T07:56:39Z,0.79
D000016,fp_a055d971d96ff0e20241,MOBILE,Android 13,2.16.7,159.229.83.223,h_e6ee8a3e80af2d96e89458,false,false,es-GT,2021-08-10,2026-01-27T18:25:30Z,0.98
D000017,fp_ae58f96bd2086102e477,MOBILE,iOS 17,3.18.8,82.46.174.93,h_987a917ff29b3c7b6042e0,false,false,es-GT|en-US,2024-10-14,2026-02-09T12:12:04Z,0.77
D000018,fp_63689a7413e5bd2ec606,MOBILE,Android 14,4.4.4,81.223.239.50,h_88df4340fac6daea0ae8d0,false,false,es-GT|en-US,2024-11-20,2026-04-02T18:03:07Z,0.82
D000019,fp_65f68ad7700f8e6a0034,MOBILE,iOS 18,3.20.5,171.10.230.91,h_3102667916d78e37f7a7c2,false,false,es-GT,2022-05-12,2026-01-18T12:13:21Z,0.92
D000020,fp_051345088740a08a8e7e,MOBILE,iOS 17,2.13.5,137.12.130.65,h_3d65c3e4270a814e979a39,false,false,es-GT|en-US,2023-12-28,2026-02-21T09:07:43Z,0.90
D000021,fp_3c719b8bc7d79e001e94,MOBILE,Android 14,4.8.4,66.205.178.121,h_33ba37981eb2175e7c479f,false,false,es-GT|en-US,2020-09-29,2026-03-05T14:52:09Z,0.84
D000022,fp_656a2ac8fc553c2c126a,MOBILE,Android 14,4.17.1,94.128.44.34,h_f3dbaa5c7f514e52bb2cc3,false,false,es-GT,2023-08-25,2026-03-27T00:41:07Z,0.97
D000023,fp_a588f9ec94febb3c6d04,MOBILE,iOS 18,3.20.0,66.83.32.123,h_2f0c651584b0a8f2ef2877,false,false,es-GT|en-US,2020-05-10,2026-02-17T18:18:21Z,0.86
D000024,fp_1682e0cef87b4be46659,MOBILE,iOS 17,2.9.6,80.31.18.191,h_1273805a4ad6b18d444a14,false,false,es-GT|en-US,2020-06-19,2026-02-02T17:59:28Z,0.73
D000025,fp_eff58e5595e0fdc6ae31,MOBILE,Android 13,3.7.2,85.223.90.36,h_dbc0d0d88b115a066597fe,false,true,es-GT|en-US,2020-08-20,2026-03-25T19:07:30Z,0.52
D000026,fp_03ccd8271837d46296d9,MOBILE,Android 13,4.18.7,25.104.41.233,h_ac6776572669f9d87e884b,false,false,es-GT,2025-04-29,2026-02-13T13:49:54Z,0.97
D000027,fp_0bf89c91ad80e4ad5b50,MOBILE,iOS 17,2.17.2,181.242.53.125,h_d50f6b75ea82342b0ecacf,false,false,es-GT,2021-08-05,2026-03-20T01:31:27Z,0.78
D000028,fp_708d429502fd7c661a1a,MOBILE,Android 14,4.10.2,145.235.50.219,h_3a454bd88a2397f723cdf3,true,false,es-GT,2021-12-25,2026-04-15T06:13:00Z,0.71
D000029,fp_961158bb8b3ebe9f5730,MOBILE,iOS 17,3.8.8,151.145.5.20,h_2830d8b826b32772471e5a,false,false,es-GT,2022-09-25,2026-02-10T06:13:05Z,0.87
D000030,fp_eaa662614da8b8ed412b,MOBILE,Android 14,3.20.3,140.90.150.161,h_729e93880088f807a3dae6,false,false,es-GT,2024-06-17,2026-04-05T22:37:24Z,0.81
D000031,fp_1d0f35c4446d65e12c12,LAPTOP,Windows 10,3.17.0,126.240.74.174,h_b215e2957b586d259c1574,false,false,es-GT,2020-03-18,2026-04-19T03:26:22Z,0.84
D000032,fp_40e02116b6d898a34b6b,MOBILE,iOS 17,3.6.6,56.101.228.52,h_71e0378d5cfa3bc32175ae,false,false,es-GT,2024-06-21,2026-04-11T06:23:47Z,0.72
D000033,fp_d07ff158329861e26234,MOBILE,iOS 17,2.13.3,143.155.236.80,h_20765d79f1e35424c4c669,false,false,es-GT,2024-01-18,2026-03-08T00:31:19Z,0.81
D000034,fp_d85319dfaed37287f263,MOBILE,iOS 17,4.2.8,26.129.175.230,h_a6d9f40ba2e8fdd65a14ba,false,false,es-GT,2021-09-01,2026-03-30T17:04:32Z,0.83
D000035,fp_868c4abb0a5352e9bb76,MOBILE,iOS 17,4.4.4,134.90.132.44,h_caa128b19c943397c05e9d,false,false,es-GT|en-US,2023-12-25,2026-02-27T03:56:50Z,0.89
D000036,fp_d0f3783323d908043582,MOBILE,Android 13,4.12.9,128.227.27.17,h_0a46bfd9295555c2b6498c,false,false,es-GT|en-US,2025-08-18,2026-02-26T13:03:55Z,0.98
D000037,fp_9f90f6f140cbd7b7d42e,LAPTOP,Windows 11,2.14.2,119.206.55.15,h_ddb22697baa8cb957895a1,false,false,es-GT|en-US,2020-04-03,2026-01-19T18:26:30Z,0.75
D000038,fp_99ad361daeebe3b3ef7c,MOBILE,iOS 18,2.10.4,49.62.157.195,h_8be198e6b7c484989cbb23,false,false,es-GT,2025-01-20,2026-03-30T14:27:35Z,0.89
D000039,fp_01e86517d115e7f4526e,MOBILE,Android 13,3.2.8,93.101.97.21,h_1e6469449fc9618887fc32,false,false,es-GT|en-US,2021-03-07,2026-01-29T05:06:17Z,0.80
D000040,fp_ca49e3774365277d521e,MOBILE,iOS 17,4.6.1,165.154.184.188,h_25c23f33db9c1acd7c4f79,false,false,es-GT|en-US,2020-01-08,2026-04-01T19:02:12Z,0.95
D000041,fp_af84c06869af86b4979d,MOBILE,iOS 18,2.8.0,110.37.73.138,h_0789c36e7fa8f05e6f7df8,false,false,es-GT|en-US,2025-05-04,2026-03-31T21:16:10Z,0.76
D000042,fp_5d242388bec2e28715bb,MOBILE,iOS 17,2.10.3,105.27.148.28,h_cf9e1c16962aa2da5be8b5,false,false,es-GT|en-US,2022-09-13,2026-04-16T10:15:15Z,0.83
D000043,fp_a531bbd1eb3c491885c0,LAPTOP,Ubuntu 22.04,2.18.3,51.94.215.162,h_e35e7fce24c6c42917e312,false,false,es-GT,2023-09-05,2026-03-08T19:53:59Z,0.92
D000044,fp_2764c4928f4e8dadc97d,MOBILE,Android 13,3.15.8,127.199.49.250,h_1e2291f29c6f53e7ae5643,false,false,es-GT,2023-12-10,2026-01-18T16:32:52Z,0.72
D000045,fp_a7975ed361c91d127480,LAPTOP,Windows 10,4.20.4,69.235.116.37,h_6e93a6c3514f5897e4f248,false,false,es-GT,2022-07-15,2026-02-09T20:45:47Z,0.95
D000046,fp_657f03047b7ad83170fd,TABLET,iPadOS 17,4.14.9,145.179.23.102,h_078b2d9920431a0f2cedd6,false,false,es-GT,2020-11-16,2026-01-27T11:20:23Z,0.86
D000047,fp_a06fdf74b6f63d154b9e,LAPTOP,macOS 14,4.14.9,86.148.159.245,h_f8a711c4eb20078444dc5d,false,false,es-GT|en-US,2024-01-13,2026-02-15T23:51:53Z,0.79
D000048,fp_4c5d62c916b303c8bd4c,MOBILE,Android 14,2.3.9,189.155.132.99,h_3b3f02224412b946718c47,false,false,es-GT|en-US,2026-02-12,2026-03-30T19:56:36Z,0.94
D000049,fp_da65cae3bee6958458ba,MOBILE,Android 13,4.13.8,125.213.92.223,h_8d7a6772f8d23fb888e906,true,false,es-GT,2022-10-07,2026-03-27T15:35:19Z,0.52
D000050,fp_0e7871c0f411a2767b07,LAPTOP,Windows 10,3.0.1,36.120.58.159,h_6023b6d78e464594440ee3,false,false,es-GT|en-US,2023-06-13,2026-01-17T15:22:25Z,0.90
D000051,fp_71efc1842a0e1776cceb,LAPTOP,macOS 14,2.9.0,140.74.147.2,h_6c02cd4ecbc97419d8b7d1,false,false,es-GT|en-US,2025-03-21,2026-02-03T23:14:07Z,0.72
D000052,fp_e7d819721869874451d5,MOBILE,Android 14,3.0.0,43.190.36.237,h_da0f4a12f6b6ca86d4170f,false,false,es-GT,2024-03-09,2026-02-27T11:10:14Z,0.76
D000053,fp_5ce010a7fa543a676281,MOBILE,Android 13,4.16.8,115.160.201.24,h_d86e658c730ff5330306f4,false,false,es-GT|en-US,2022-06-01,2026-03-05T21:34:37Z,0.76
D000054,fp_199dc41c9e47e8dde586,LAPTOP,macOS 14,4.10.9,132.181.18.103,h_c49368d086a23849d33bbf,false,false,es-GT|en-US,2025-06-09,2026-03-18T05:28:26Z,0.80
D000055,fp_41e8cbdbc2f01c85b32f,MOBILE,Android 14,4.3.9,34.200.115.15,h_d64713b095b08a9f0b941c,false,false,es-GT,2023-05-08,2026-03-22T20:56:52Z,0.85
D000056,fp_b2f5cf2aaea787c87cf1,MOBILE,iOS 17,4.12.5,152.78.118.78,h_a4e73dd919658629599210,false,false,es-GT|en-US,2022-10-08,2026-02-14T23:48:31Z,0.76
D000057,fp_00af54ff06bb9f3e4eaf,MOBILE,iOS 18,4.13.4,174.251.104.88,h_609ea85235cf24816c605f,false,false,es-GT|en-US,2020-01-27,2026-03-16T01:47:23Z,0.91
D000058,fp_cb1ed704725314564722,MOBILE,iOS 17,2.3.8,118.42.42.81,h_7087f281ac164f395c43aa,false,false,es-GT,2020-03-29,2026-01-06T18:05:35Z,0.88
D000059,fp_25a4b7784a6ba72a96d3,MOBILE,Android 13,4.12.5,110.210.11.143,h_a6b5bf761b9404fed2238b,false,false,es-GT|en-US,2025-06-09,2026-03-07T09:14:08Z,0.97
D000060,fp_f833d757c299e4f79625,MOBILE,Android 14,4.12.4,74.23.168.128,h_3598d6d78fb7bf1ba15ce0,false,false,es-GT|en-US,2020-12-08,2026-03-15T12:58:56Z,0.85
D000061,fp_87e5151fcaef3a55e2f6,MOBILE,iOS 18,4.9.4,185.151.129.158,h_9fa7f8cd23cccd6484d26b,false,false,es-GT,2021-08-08,2026-03-17T21:10:51Z,0.81
D000062,fp_efc3f5f9eb292c350dbd,MOBILE,iOS 18,2.15.4,93.68.132.13,h_dd2c3381ab5a5b18613e35,false,false,es-GT,2023-03-19,2026-04-14T03:54:26Z,0.78
D000063,fp_af1c16bd2fba94c9a22a,MOBILE,Android 14,3.14.5,131.91.121.51,h_77d85e48067b2e7c5f25d8,false,false,es-GT,2022-12-22,2026-01-15T06:44:06Z,0.72
D000064,fp_7b86abb73928d5c4aa93,MOBILE,iOS 18,4.15.4,144.123.170.140,h_ca1a20fead2344e21d2c2c,false,false,es-GT|en-US,2020-04-22,2026-01-30T19:12:07Z,0.80
D000065,fp_e21782275fbdccaddb4c,LAPTOP,Windows 11,4.0.5,28.234.167.182,h_62fa223ec2bfaea399585c,false,false,es-GT|en-US,2024-08-17,2026-03-24T09:39:56Z,0.84
D000066,fp_de911e8ccc86b91f290d,MOBILE,iOS 18,2.7.2,184.126.202.40,h_6f5d3d37d734312ab73f33,false,false,es-GT,2023-07-20,2026-02-06T01:36:26Z,0.91
D000067,fp_88ed81b5c6883a74374a,LAPTOP,macOS 14,3.2.0,166.49.253.94,h_fdd7a8f0e2373176d8c6ca,false,false,es-GT,2023-05-17,2026-01-09T05:31:26Z,0.80
D000068,fp_312476eea38495ae45b8,MOBILE,Android 13,4.11.5,99.23.15.175,h_24daee26d5d791ca0fc101,true,false,es-GT|en-US,2022-09-24,2026-01-22T18:24:10Z,0.59
D000069,fp_14d9ddbad936e174067c,MOBILE,Android 14,3.16.0,177.139.184.15,h_b8a2668df91cc5739552f3,true,false,es-GT|en-US,2024-04-05,2026-02-13T23:33:28Z,0.60
D000070,fp_334844835af4c5c3ccd0,TABLET,iPadOS 17,2.17.0,165.50.12.244,h_48dc94e6ae6f788f93eea3,false,false,es-GT,2020-02-25,2026-02-06T16:22:01Z,0.77
D000071,fp_ad5c91ff43de2aae9d0c,MOBILE,iOS 17,2.12.7,86.208.224.243,h_715d22c47add08261cb52c,true,false,es-GT,2021-09-19,2026-03-07T23:49:32Z,0.52
D000072,fp_f22a6894b7b8d146bb67,MOBILE,Android 13,3.7.6,31.198.49.254,h_6667c5703324eb39ea2637,true,false,es-GT,2021-04-10,2026-02-23T09:48:09Z,0.64
D000073,fp_c46076acecb4aeeedaa5,MOBILE,iOS 17,3.20.2,75.92.154.140,h_5b9f0a293076c5d18f5afe,false,false,es-GT,2023-08-27,2026-01-09T22:17:29Z,0.85
D000074,fp_b942e8c11d11f932f1ea,MOBILE,Android 13,2.10.6,96.216.192.140,h_94158b4254a67628692328,false,false,es-GT,2020-12-21,2026-03-02T15:17:16Z,0.97
D000075,fp_675b7e25fe3f62a74424,MOBILE,Android 14,3.15.5,60.201.39.204,h_c2fca12d829e2c95848c60,false,false,es-GT|en-US,2020-03-15,2026-03-11T13:22:02Z,0.75
D000076,fp_9afe1677b98299f831da,MOBILE,Android 13,3.20.6,50.84.202.30,h_d7075bdd5e47225bf3aa81,false,false,es-GT|en-US,2025-03-17,2026-03-01T17:01:51Z,0.88
D000077,fp_7770c0365a75dc364d82,MOBILE,Android 13,4.3.0,53.114.164.21,h_be1f9acb8d185096cc1d66,false,false,es-GT|en-US,2020-11-23,2026-01-20T12:11:23Z,0.86
D000078,fp_c9b5dcc490eaa3e05be2,MOBILE,Android 14,4.4.3,118.182.68.125,h_bc70411aaeaa41407f1145,false,false,es-GT|en-US,2021-08-10,2026-02-06T09:41:20Z,0.86
D000079,fp_b185d87ed7e014d15e38,TABLET,Android 13,4.20.6,110.9.11.144,h_750adeb385190dfdc5965d,false,false,es-GT,2025-12-03,2026-03-29T13:47:40Z,0.92
D000080,fp_3341497a817da19c09ba,MOBILE,iOS 18,2.5.3,157.88.13.36,h_6578d4bffdf969039e3211,false,false,es-GT|en-US,2021-04-19,2026-02-19T17:53:23Z,0.92
D000081,fp_4d221598f25f19389796,LAPTOP,Ubuntu 22.04,4.0.7,137.137.44.81,h_74472aa31dc5c2d9f9b603,false,false,es-GT,2026-01-22,2026-02-18T04:34:51Z,0.86
D000082,fp_ac23d2456b49e5ef4677,TABLET,iPadOS 17,2.6.8,117.165.177.102,h_e93c0abd0b99992ef90110,false,false,es-GT,2024-08-06,2026-04-20T14:09:28Z,0.79
D000083,fp_0f97401b17721abc74ca,MOBILE,Android 13,4.7.6,110.179.175.218,h_7610f257b73fd7b96ba4a1,false,false,es-GT,2023-07-24,2026-04-05T19:04:09Z,0.95
D000084,fp_9736ce92e6d06f701496,MOBILE,Android 14,4.5.7,116.191.202.60,h_825691649069b695d1355b,false,false,es-GT,2021-05-07,2026-02-12T21:00:24Z,0.74
D000085,fp_b96640ba3d6e93037356,LAPTOP,macOS 14,3.9.9,127.222.228.158,h_f6c1ad6a654cbb01100db8,false,false,es-GT|en-US,2024-05-07,2026-01-19T15:43:05Z,0.81
D000086,fp_163726aef0bf2172c6ce,MOBILE,Android 13,3.10.9,105.248.82.154,h_10489b9ce6210ba4b350a0,false,false,es-GT,2025-02-06,2026-01-02T04:45:07Z,0.95
D000087,fp_59a7bd4f4f21989b01e9,MOBILE,iOS 18,3.19.8,161.31.162.26,h_ef8f92ffb410033b9f3fb9,false,false,es-GT,2021-01-20,2026-01-29T09:46:57Z,0.95
D000088,fp_009aec3a2696469a95e7,MOBILE,iOS 17,4.4.2,95.173.252.79,h_55d3e7ff6c54b6ba145880,true,false,es-GT,2024-01-31,2026-01-20T08:47:44Z,0.61
D000089,fp_7a80fad3b36b61158493,MOBILE,Android 13,4.7.0,170.208.7.145,h_3861c7856c0bffa3f0ff22,false,false,es-GT,2026-02-28,2026-01-26T18:02:22Z,0.77
D000090,fp_d7567590b15df4e78da1,MOBILE,iOS 17,3.17.0,163.141.8.87,h_a4f290fd61b1900056fde6,false,false,es-GT,2020-07-22,2026-02-28T10:48:08Z,0.92
D000091,fp_92fafe0118c0d44b692e,MOBILE,iOS 17,3.5.4,120.249.163.83,h_af86d6a1fd4f1847d9882a,false,false,es-GT|en-US,2023-07-16,2026-03-31T07:52:59Z,0.80
D000092,fp_915ed9598861be1d509b,LAPTOP,Windows 11,3.8.4,126.139.65.45,h_b7ef83715eef72c82c6cd9,false,false,es-GT|en-US,2020-07-04,2026-03-16T10:21:46Z,0.85
D000093,fp_28da8697701514218191,MOBILE,iOS 17,3.10.9,137.162.97.246,h_1a4e49e8db9586dac5204f,false,false,es-GT,2024-01-14,2026-01-23T09:06:41Z,0.78
D000094,fp_43f01cfb19eba7eaf95d,MOBILE,iOS 17,3.8.8,157.11.196.17,h_7b8da161f6f01d1300fc71,false,false,es-GT|en-US,2024-09-27,2026-01-19T05:14:53Z,0.83
D000095,fp_f6db231940e42dfedbc7,MOBILE,Android 13,4.14.9,98.254.50.59,h_da1c127372ecf11beeed5f,false,false,es-GT,2021-07-11,2026-03-16T05:49:25Z,0.75
D000096,fp_32cb92c03ff1da59ebdf,LAPTOP,Ubuntu 22.04,4.11.0,109.73.134.86,h_dda0a31fe40b98a5d9d371,false,false,es-GT|en-US,2023-01-12,2026-03-22T16:54:41Z,0.94
D000097,fp_67b38235504b36eab375,MOBILE,iOS 17,4.4.1,146.225.38.240,h_c91b73f4aa97585d850015,false,false,es-GT,2025-08-06,2026-02-04T16:37:18Z,0.93
D000098,fp_006b9c080cbb68c41fae,MOBILE,Android 14,4.7.0,103.192.247.161,h_2d54dd611e190450aad738,false,false,es-GT,2022-10-10,2026-04-05T01:25:07Z,0.97
D000099,fp_804feb716b411064cd95,MOBILE,iOS 17,2.3.0,135.7.122.217,h_2a939a64ec0cfb6e6cd729,false,false,es-GT,2023-07-07,2026-03-31T22:12:57Z,0.76
D000100,fp_2a427b4ccc4def9ec079,MOBILE,Android 14,4.3.1,181.12.44.83,h_ab28f572ac2f9515421ab1,false,false,es-GT|en-US,2021-04-24,2026-03-10T11:27:52Z,0.97
D000101,fp_128456504a185c2b7943,MOBILE,iOS 18,2.20.8,189.8.19.107,h_f83b278d0ef2c855f08c00,false,false,es-GT,2022-04-23,2026-02-26T19:21:12Z,0.89
D000102,fp_6ea6fe513a7bb54da8b0,MOBILE,iOS 17,3.13.2,101.91.99.162,h_d53a708f20313ad0c05152,false,false,es-GT,2021-07-10,2026-01-25T21:43:50Z,0.76
D000103,fp_12489ae0833ddc9f234e,LAPTOP,Ubuntu 22.04,3.1.2,187.44.136.10,h_05f692a380db7e69991bf1,false,false,es-GT,2024-09-25,2026-01-13T21:08:14Z,0.82
D000104,fp_8fb617fdf2eb2c00746d,MOBILE,iOS 18,3.4.7,166.113.18.200,h_05c06741753bf4200d894f,false,false,es-GT|en-US,2024-02-07,2026-02-25T22:52:42Z,0.89
D000105,fp_22d561aed921a42fa2eb,LAPTOP,Windows 10,4.19.7,105.220.58.108,h_9c21466e29d91547173668,false,false,es-GT,2021-04-18,2026-02-05T10:31:48Z,0.91
D000106,fp_7579f77cd8af4ace0021,MOBILE,iOS 17,4.6.6,125.243.242.252,h_5d58c62d0b1e7f2ac36cd5,false,false,es-GT,2021-12-11,2026-02-03T14:02:43Z,0.93
D000107,fp_045e6afc96bb9a78c4bc,MOBILE,iOS 17,4.12.2,65.148.166.216,h_9d479c54c1835fd150c3f5,false,false,es-GT,2021-04-24,2026-01-01T20:08:31Z,0.94
D000108,fp_4acd673c45f46dd9a783,TABLET,Android 13,4.15.8,56.71.9.171,h_f0dcc11f2099ddb820dfae,false,false,es-GT|en-US,2021-07-09,2026-04-12T19:52:43Z,0.97
D000109,fp_c1002da5b05131da4b43,MOBILE,iOS 17,2.5.7,52.102.76.159,h_4402c973c4d8f5d851b002,false,false,es-GT|en-US,2021-02-16,2026-04-03T18:50:52Z,0.84
D000110,fp_e810829d509f01431942,MOBILE,iOS 17,2.7.1,48.39.31.38,h_09b388e237a66b244dbd38,false,false,es-GT,2020-11-22,2026-03-27T08:54:49Z,0.77
D000111,fp_b216e09f1642acb48b9b,MOBILE,Android 14,4.14.7,91.184.160.224,h_487c3a27741c8d160a36c0,false,false,es-GT,2020-07-04,2026-03-27T01:59:25Z,0.88
D000112,fp_b2cf104a85ee3d0da561,LAPTOP,Windows 11,3.18.5,165.54.34.158,h_a129477b2cac676fe08632,false,false,es-GT,2025-03-22,2026-03-22T16:27:51Z,0.74
D000113,fp_6a64837b043a7568d5a5,MOBILE,iOS 17,2.19.4,84.221.227.139,h_66e4d889c08e79946600bc,false,false,es-GT|en-US,2025-07-11,2026-02-07T08:43:11Z,0.81
D000114,fp_257f762d4833ec6de8b4,MOBILE,iOS 18,2.12.6,139.71.123.62,h_f715dee13398a0d8d579e0,false,false,es-GT|en-US,2021-12-10,2026-04-16T12:00:02Z,0.90
D000115,fp_4b6ead983ac695f24842,MOBILE,iOS 18,4.7.8,162.216.157.228,h_735cf758f2b723e5b5a886,false,false,es-GT,2025-12-18,2026-01-06T06:44:56Z,0.89
D000116,fp_1ac5406486c54ee7758e,MOBILE,Android 14,4.13.9,58.51.126.171,h_bf66fd1a8a26e2c70bf331,false,false,es-GT|en-US,2023-05-25,2026-04-21T01:29:05Z,0.76
D000117,fp_de494a85d4bc252ede1c,MOBILE,iOS 17,2.5.6,100.221.207.183,h_b5c9dd7e1a0b3e6e9c83df,false,false,es-GT,2021-02-27,2026-02-19T17:26:54Z,0.97
D000118,fp_b70e9c712eefb5775779,MOBILE,Android 14,3.5.5,150.69.181.199,h_4a63108fadcd90a071b7ba,false,false,es-GT,2023-02-18,2026-03-13T22:20:33Z,0.83
D000119,fp_706f8933a2bff2cd2091,MOBILE,iOS 17,3.9.5,25.48.232.233,h_a5fcfe373d700547af285c,true,false,es-GT,2020-05-19,2026-04-09T07:27:42Z,0.67
D000120,fp_bb7ce6c0d373349cc69d,LAPTOP,macOS 14,2.7.8,125.227.192.62,h_f363416b9846e8a6460710,false,false,es-GT,2022-01-01,2026-01-07T22:19:04Z,0.79
D000121,fp_b667e8b3b780fe219b78,MOBILE,Android 14,3.8.7,184.32.153.100,h_a4ffb028b283f33fbc124a,false,false,es-GT|en-US,2024-11-15,2026-02-20T02:03:08Z,0.76
D000122,fp_d3deddcdfc56bb3a39ee,LAPTOP,Windows 11,4.1.2,123.192.198.20,h_592e271ae99bdeed3be23f,false,false,es-GT,2025-08-25,2026-03-18T22:16:16Z,0.78
D000123,fp_5b91b268636a745f5dd1,MOBILE,iOS 17,4.0.0,90.201.33.113,h_d5d4ce674cd04d00fa538d,false,false,es-GT,2023-09-13,2026-01-29T12:51:06Z,0.97
D000124,fp_323f2d6a844db73b315c,MOBILE,iOS 18,4.5.7,51.36.131.4,h_fc3cd50ece4e57594ba3b8,false,false,es-GT,2024-05-21,2026-03-14T21:07:09Z,0.78
D000125,fp_8262a9bf69c2a7fd1eb0,MOBILE,iOS 18,3.11.8,60.123.45.84,h_862273d8ff87e20a03bf15,true,false,es-GT,2023-10-13,2026-01-10T17:04:21Z,0.59
D000126,fp_82c2804b23b9c80bbccb,MOBILE,Android 14,3.18.8,197.136.189.197,h_18016f519322bd9f5c3890,false,false,es-GT|en-US,2021-12-16,2026-01-20T09:58:23Z,0.76
D000127,fp_51c64baffaecbbbc9ad3,MOBILE,iOS 17,4.14.3,107.80.156.25,h_bbec5aab1b865780978b47,false,false,es-GT|en-US,2024-04-29,2026-02-12T16:51:12Z,0.95
D000128,fp_1de17407cb0806a9b65d,MOBILE,Android 13,4.4.6,118.200.190.219,h_74b7e203d22d897e54d03a,false,false,es-GT,2020-01-30,2026-02-27T12:55:43Z,0.92
D000129,fp_de1536299f821ff98ad2,MOBILE,iOS 18,4.18.6,101.156.209.181,h_6a10e79b3919c8ccc9bcda,false,false,es-GT,2025-09-10,2026-02-09T13:44:25Z,0.81
D000130,fp_08ca8d931ce56d771e51,TABLET,Android 13,4.4.3,35.217.150.243,h_da68dc38f70f3895e56f98,false,false,es-GT,2023-09-19,2026-01-24T01:29:48Z,0.81
D000131,fp_2bcea01124046b8c7b13,LAPTOP,macOS 14,4.15.8,149.184.162.20,h_c008749d1211bd4f3c844b,false,false,es-GT|en-US,2023-05-17,2026-03-18T02:54:49Z,0.80
D000132,fp_bf39a62e080f34785edc,MOBILE,iOS 18,4.12.8,119.225.89.176,h_b7fda0cf129e37f6a5c12e,false,false,es-GT|en-US,2025-03-05,2026-02-16T01:45:53Z,0.94
D000133,fp_69139abfc862b02f2bb5,MOBILE,Android 13,4.7.3,33.167.204.82,h_2df1ab3f0f49467d7dad6c,false,false,es-GT|en-US,2025-11-02,2026-04-16T19:53:58Z,0.91
D000134,fp_e47323d3ba383db9f206,LAPTOP,Ubuntu 22.04,4.8.7,143.88.203.140,h_37158e44a36bc5362996b2,false,false,es-GT|en-US,2021-02-17,2026-01-04T16:36:29Z,0.76
D000135,fp_f7d278f4ebc32c9eb2ee,LAPTOP,Windows 10,4.9.6,122.193.1.17,h_cf4310b984f907ceea57c5,false,false,es-GT|en-US,2020-10-24,2026-03-05T08:12:58Z,0.90
D000136,fp_280753e23d90495b4c66,LAPTOP,Windows 11,4.2.2,64.58.120.210,h_5f44a6fbc99a44c92ae403,false,false,es-GT,2023-03-14,2026-01-24T05:25:17Z,0.73
