cliente_id,cuenta_id,fecha_inicio,tipo_titularidad,porcentaje_propiedad,estado_relacion,origen_onboarding
C001176,CU000049,2025-09-10,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000062,CU000049,2025-09-10,COTITULAR,50.00,ACTIVA,APP
C000953,CU000050,2026-01-15,PRINCIPAL,100.00,ACTIVA,APP
C000142,CU000051,2025-07-22,PRINCIPAL,100.00,ACTIVA,WEB
C001161,CU000052,2023-06-05,PRINCIPAL,100.00,ACTIVA,APP
C000938,CU000053,2025-05-11,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000831,CU000054,2020-02-14,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001023,CU000055,2025-05-16,PRINCIPAL,100.00,INACTIVA,SUCURSAL
C000853,CU000056,2026-04-18,PRINCIPAL,50.00,ACTIVA,APP
C000155,CU000056,2026-04-18,COTITULAR,50.00,ACTIVA,WEB
C001187,CU000057,2024-02-22,PRINCIPAL,100.00,ACTIVA,WEB
C000871,CU000058,2025-12-05,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001012,CU000059,2026-02-24,PRINCIPAL,100.00,ACTIVA,APP
C000211,CU000060,2022-03-12,PRINCIPAL,100.00,ACTIVA,APP
C000515,CU000061,2025-08-03,PRINCIPAL,100.00,ACTIVA,APP
C000632,CU000062,2020-09-10,PRINCIPAL,100.00,ACTIVA,APP
C001170,CU000063,2024-01-24,PRINCIPAL,100.00,ACTIVA,APP
C001157,CU000064,2024-02-12,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001051,CU000065,2024-08-24,PRINCIPAL,100.00,ACTIVA,APP
C000375,CU000066,2025-11-05,PRINCIPAL,100.00,ACTIVA,WEB
C001113,CU000067,2024-08-19,PRINCIPAL,100.00,ACTIVA,APP
C000414,CU000068,2025-09-08,PRINCIPAL,100.00,ACTIVA,APP
C001057,CU000069,2025-08-29,PRINCIPAL,100.00,ACTIVA,APP
C000630,CU000070,2023-08-28,PRINCIPAL,100.00,ACTIVA,WEB
C000266,CU000071,2025-07-19,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000416,CU000072,2026-01-13,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000482,CU000073,2025-07-29,PRINCIPAL,100.00,ACTIVA,APP
C000265,CU000074,2024-06-08,PRINCIPAL,50.00,ACTIVA,WEB
C000768,CU000074,2024-06-08,COTITULAR,50.00,ACTIVA,APP
C000213,CU000075,2026-04-16,PRINCIPAL,100.00,ACTIVA,APP
C000206,CU000076,2024-04-28,PRINCIPAL,100.00,ACTIVA,WEB
C000850,CU000077,2022-02-19,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001092,CU000078,2025-08-11,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000810,CU000079,2024-06-21,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000724,CU000080,2026-04-21,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000412,CU000080,2026-04-21,COTITULAR,50.00,ACTIVA,SUCURSAL
C001101,CU000081,2025-12-04,PRINCIPAL,50.00,ACTIVA,WEB
C000326,CU000081,2025-12-04,COTITULAR,50.00,ACTIVA,SUCURSAL
C000108,CU000082,2024-06-16,PRINCIPAL,100.00,ACTIVA,APP
C001124,CU000083,2025-04-30,PRINCIPAL,100.00,ACTIVA,APP
C000426,CU000084,2026-03-07,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000901,CU000085,2026-04-06,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000100,CU000085,2026-04-06,COTITULAR,50.00,ACTIVA,APP
C001030,CU000086,2025-12-09,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001072,CU000087,2023-10-01,PRINCIPAL,100.00,ACTIVA,WEB
C000255,CU000088,2023-04-12,PRINCIPAL,50.00,ACTIVA,APP
C001113,CU000088,2023-04-12,COTITULAR,50.00,ACTIVA,APP
C000919,CU000089,2026-02-24,PRINCIPAL,100.00,ACTIVA,WEB
C000652,CU000090,2025-04-27,PRINCIPAL,100.00,ACTIVA,APP
C000688,CU000091,2023-03-05,PRINCIPAL,50.00,ACTIVA,APP
C000494,CU000091,2023-03-05,COTITULAR,50.00,ACTIVA,SUCURSAL
C000041,CU000092,2026-03-07,PRINCIPAL,100.00,ACTIVA,APP
C000355,CU000093,2025-09-11,PRINCIPAL,100.00,ACTIVA,APP
C000214,CU000094,2024-04-09,PRINCIPAL,50.00,ACTIVA,APP
C001064,CU000094,2024-04-09,COTITULAR,50.00,ACTIVA,SUCURSAL
C000758,CU000095,2025-02-24,PRINCIPAL,100.00,ACTIVA,APP
C000773,CU000096,2025-06-09,PRINCIPAL,100.00,ACTIVA,APP
C000001,CU000097,2025-06-27,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000856,CU000098,2023-10-24,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001196,CU000099,2025-02-25,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000746,CU000099,2025-02-25,COTITULAR,50.00,ACTIVA,WEB
C000985,CU000100,2022-01-01,PRINCIPAL,100.00,ACTIVA,APP
C001023,CU000101,2026-02-11,PRINCIPAL,100.00,ACTIVA,APP
C000690,CU000102,2022-02-24,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000119,CU000103,2024-10-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000124,CU000104,2021-11-01,PRINCIPAL,100.00,ACTIVA,WEB
C001116,CU000105,2023-04-23,PRINCIPAL,100.00,ACTIVA,WEB
C000364,CU000106,2022-10-04,PRINCIPAL,100.00,ACTIVA,WEB
C000205,CU000107,2023-05-05,PRINCIPAL,50.00,ACTIVA,APP
C000753,CU000107,2023-05-05,COTITULAR,50.00,ACTIVA,SUCURSAL
C000757,CU000108,2025-09-07,PRINCIPAL,100.00,ACTIVA,APP
C000135,CU000109,2022-10-09,PRINCIPAL,100.00,ACTIVA,WEB
C000939,CU000110,2026-04-05,PRINCIPAL,100.00,ACTIVA,APP
C000619,CU000111,2023-08-07,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000011,CU000112,2026-01-21,PRINCIPAL,100.00,ACTIVA,APP
C000294,CU000113,2021-08-24,PRINCIPAL,100.00,ACTIVA,APP
C000528,CU000114,2025-07-14,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000039,CU000114,2025-07-14,COTITULAR,50.00,ACTIVA,WEB
C000360,CU000115,2025-12-09,PRINCIPAL,100.00,ACTIVA,WEB
C000483,CU000116,2023-11-22,PRINCIPAL,100.00,ACTIVA,APP
C000712,CU000117,2026-03-15,PRINCIPAL,100.00,ACTIVA,APP
C001090,CU000118,2024-01-12,PRINCIPAL,100.00,ACTIVA,APP
C001031,CU000119,2026-01-10,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000125,CU000120,2025-08-22,PRINCIPAL,100.00,ACTIVA,APP
C000585,CU000121,2026-03-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001190,CU000122,2025-11-11,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000955,CU000122,2025-11-11,COTITULAR,50.00,ACTIVA,WEB
C000544,CU000123,2021-10-31,PRINCIPAL,100.00,ACTIVA,APP
C001186,CU000124,2024-08-13,PRINCIPAL,100.00,ACTIVA,APP
C001107,CU000125,2024-11-03,PRINCIPAL,100.00,ACTIVA,APP
C000409,CU000126,2025-06-10,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000169,CU000127,2024-03-08,PRINCIPAL,100.00,ACTIVA,WEB
C001075,CU000128,2024-01-29,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000357,CU000129,2022-05-05,PRINCIPAL,100.00,ACTIVA,APP
C001187,CU000130,2023-02-18,PRINCIPAL,100.00,ACTIVA,APP
C000314,CU000131,2026-03-19,PRINCIPAL,100.00,ACTIVA,APP
C000878,CU000132,2019-08-23,PRINCIPAL,100.00,ACTIVA,APP
C000226,CU000133,2025-10-02,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000848,CU000134,2024-02-04,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000762,CU000135,2025-07-10,PRINCIPAL,100.00,ACTIVA,APP
C000518,CU000136,2024-11-14,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000276,CU000137,2025-05-18,PRINCIPAL,100.00,ACTIVA,APP
C001041,CU000138,2022-02-02,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000204,CU000139,2023-08-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000577,CU000140,2022-07-30,PRINCIPAL,100.00,ACTIVA,WEB
C000485,CU000141,2023-06-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000444,CU000142,2024-09-30,PRINCIPAL,100.00,ACTIVA,WEB
C000779,CU000143,2024-09-25,PRINCIPAL,100.00,ACTIVA,APP
C001175,CU000144,2021-01-05,PRINCIPAL,100.00,ACTIVA,WEB
C000909,CU000145,2019-04-02,PRINCIPAL,100.00,ACTIVA,APP
C000288,CU000146,2026-04-21,PRINCIPAL,100.00,ACTIVA,APP
C000886,CU000147,2026-04-21,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000752,CU000148,2026-01-24,PRINCIPAL,100.00,ACTIVA,APP
C001089,CU000149,2021-03-22,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000965,CU000149,2021-03-22,COTITULAR,50.00,ACTIVA,SUCURSAL
C000620,CU000150,2020-04-08,PRINCIPAL,100.00,ACTIVA,APP
C000003,CU000151,2022-06-22,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000325,CU000152,2021-08-21,PRINCIPAL,100.00,ACTIVA,APP
C000982,CU000153,2025-02-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000877,CU000154,2026-02-12,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000358,CU000155,2023-12-12,PRINCIPAL,100.00,ACTIVA,APP
C000617,CU000156,2019-01-11,PRINCIPAL,100.00,ACTIVA,WEB
C000623,CU000157,2024-07-18,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000535,CU000158,2026-03-26,PRINCIPAL,100.00,ACTIVA,APP
C000486,CU000159,2025-10-27,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000907,CU000160,2025-10-02,PRINCIPAL,100.00,ACTIVA,WEB
C001092,CU000161,2025-06-22,PRINCIPAL,100.00,ACTIVA,APP
C000721,CU000162,2022-01-08,PRINCIPAL,100.00,ACTIVA,APP
C000848,CU000163,2020-12-24,PRINCIPAL,100.00,ACTIVA,APP
C000911,CU000164,2023-04-30,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001004,CU000165,2026-01-22,PRINCIPAL,100.00,ACTIVA,WEB
C000900,CU000166,2025-09-29,PRINCIPAL,100.00,ACTIVA,APP
C001025,CU000167,2018-12-24,PRINCIPAL,100.00,ACTIVA,APP
C001015,CU000168,2023-11-09,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000635,CU000169,2025-10-31,PRINCIPAL,100.00,ACTIVA,APP
C001069,CU000170,2026-04-12,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000649,CU000171,2024-06-12,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000188,CU000172,2024-09-28,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000901,CU000173,2026-04-13,PRINCIPAL,100.00,ACTIVA,APP
C001016,CU000174,2025-12-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000484,CU000175,2024-12-03,PRINCIPAL,100.00,ACTIVA,APP
C000712,CU000176,2026-02-20,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000203,CU000177,2025-10-17,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000771,CU000177,2025-10-17,COTITULAR,50.00,ACTIVA,APP
C000573,CU000178,2025-01-11,PRINCIPAL,100.00,ACTIVA,APP
C000189,CU000179,2026-04-06,PRINCIPAL,100.00,ACTIVA,APP
C000607,CU000180,2024-08-03,PRINCIPAL,100.00,ACTIVA,WEB
C001096,CU000181,2021-10-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000711,CU000182,2026-03-29,PRINCIPAL,100.00,INACTIVA,APP
C001099,CU000183,2025-04-17,PRINCIPAL,100.00,INACTIVA,APP
C001088,CU000184,2025-03-12,PRINCIPAL,100.00,ACTIVA,APP
C001199,CU000185,2025-09-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000837,CU000186,2026-03-31,PRINCIPAL,100.00,ACTIVA,APP
C000777,CU000187,2025-05-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001064,CU000188,2024-09-27,PRINCIPAL,100.00,INACTIVA,SUCURSAL
C000670,CU000189,2025-05-08,PRINCIPAL,100.00,ACTIVA,APP
C000631,CU000190,2021-07-29,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000881,CU000191,2026-02-05,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000542,CU000192,2022-03-21,PRINCIPAL,100.00,ACTIVA,APP
C001131,CU000193,2025-10-22,PRINCIPAL,100.00,ACTIVA,WEB
C000064,CU000194,2022-02-28,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000882,CU000195,2023-05-26,PRINCIPAL,100.00,ACTIVA,APP
C000584,CU000196,2024-04-29,PRINCIPAL,50.00,ACTIVA,APP
C000299,CU000196,2024-04-29,COTITULAR,50.00,ACTIVA,SUCURSAL
C000068,CU000197,2020-11-21,PRINCIPAL,100.00,ACTIVA,WEB
C000762,CU000198,2025-07-07,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000021,CU000199,2024-10-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000364,CU000200,2025-04-15,PRINCIPAL,100.00,ACTIVA,WEB
C001008,CU000201,2020-02-01,PRINCIPAL,100.00,ACTIVA,WEB
C000921,CU000202,2025-08-07,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000007,CU000203,2025-03-19,PRINCIPAL,100.00,ACTIVA,WEB
C001017,CU000204,2025-11-14,PRINCIPAL,100.00,ACTIVA,WEB
C000068,CU000205,2020-07-20,PRINCIPAL,100.00,ACTIVA,APP
C000464,CU000206,2024-11-02,PRINCIPAL,100.00,ACTIVA,APP
C000067,CU000207,2025-09-04,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000455,CU000208,2022-01-23,PRINCIPAL,100.00,ACTIVA,APP
C000256,CU000209,2025-05-14,PRINCIPAL,100.00,ACTIVA,APP
C000139,CU000210,2026-03-11,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000498,CU000211,2020-07-05,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000613,CU000212,2025-06-20,PRINCIPAL,100.00,ACTIVA,APP
C000845,CU000213,2024-10-11,PRINCIPAL,50.00,ACTIVA,WEB
C000655,CU000213,2024-10-11,COTITULAR,50.00,ACTIVA,SUCURSAL
C001065,CU000214,2024-10-16,PRINCIPAL,100.00,ACTIVA,WEB
C000347,CU000215,2023-12-31,PRINCIPAL,100.00,ACTIVA,WEB
C000272,CU000216,2025-10-21,PRINCIPAL,100.00,ACTIVA,WEB
C000567,CU000217,2026-04-15,PRINCIPAL,100.00,ACTIVA,APP
C000634,CU000218,2025-05-06,PRINCIPAL,100.00,ACTIVA,APP
C000759,CU000219,2025-03-19,PRINCIPAL,100.00,ACTIVA,WEB
C000416,CU000220,2025-02-08,PRINCIPAL,100.00,ACTIVA,APP
C000337,CU000221,2026-04-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000546,CU000222,2026-01-21,PRINCIPAL,100.00,ACTIVA,APP
C000112,CU000223,2019-05-28,PRINCIPAL,100.00,ACTIVA,APP
C000064,CU000224,2022-03-29,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000714,CU000225,2024-06-02,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000010,CU000226,2024-09-06,PRINCIPAL,100.00,ACTIVA,APP
C000427,CU000227,2024-09-30,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000581,CU000228,2023-10-29,PRINCIPAL,100.00,ACTIVA,APP
C000460,CU000229,2020-12-30,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000160,CU000230,2019-02-16,PRINCIPAL,100.00,ACTIVA,WEB
C000706,CU000231,2025-04-09,PRINCIPAL,100.00,ACTIVA,WEB
C000391,CU000232,2023-02-03,PRINCIPAL,100.00,ACTIVA,WEB
C000838,CU000233,2024-04-13,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000305,CU000234,2023-12-05,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000984,CU000235,2025-04-02,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001165,CU000236,2022-03-26,PRINCIPAL,100.00,ACTIVA,APP
C001106,CU000237,2025-03-29,PRINCIPAL,50.00,ACTIVA,APP
C000548,CU000237,2025-03-29,COTITULAR,50.00,ACTIVA,APP
C000706,CU000238,2023-10-16,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000878,CU000239,2022-12-20,PRINCIPAL,100.00,ACTIVA,APP
C000482,CU000240,2025-07-25,PRINCIPAL,100.00,ACTIVA,WEB
C000240,CU000241,2021-02-24,PRINCIPAL,100.00,ACTIVA,APP
C000891,CU000242,2022-03-22,PRINCIPAL,100.00,ACTIVA,APP
C000066,CU000243,2025-11-29,PRINCIPAL,100.00,ACTIVA,APP
C000150,CU000244,2022-11-20,PRINCIPAL,100.00,ACTIVA,APP
C001096,CU000245,2020-10-28,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000415,CU000246,2026-03-18,PRINCIPAL,50.00,ACTIVA,APP
C000601,CU000246,2026-03-18,COTITULAR,50.00,ACTIVA,APP
C000034,CU000247,2022-02-02,PRINCIPAL,100.00,ACTIVA,APP
C001179,CU000248,2025-12-01,PRINCIPAL,100.00,INACTIVA,SUCURSAL
C000230,CU000249,2021-03-22,PRINCIPAL,100.00,ACTIVA,WEB
C000588,CU000250,2022-08-04,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000343,CU000251,2025-06-09,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C001096,CU000251,2025-06-09,COTITULAR,50.00,ACTIVA,SUCURSAL
C000989,CU000252,2026-03-13,PRINCIPAL,100.00,ACTIVA,WEB
C000955,CU000253,2023-02-02,PRINCIPAL,100.00,ACTIVA,APP
C000892,CU000254,2024-10-15,PRINCIPAL,100.00,ACTIVA,APP
C000965,CU000255,2025-04-26,PRINCIPAL,100.00,ACTIVA,APP
C000902,CU000256,2021-03-10,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000087,CU000257,2026-04-12,PRINCIPAL,100.00,ACTIVA,APP
C000164,CU000258,2025-08-10,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000704,CU000259,2025-08-15,PRINCIPAL,100.00,ACTIVA,APP
C000942,CU000260,2025-05-25,PRINCIPAL,100.00,ACTIVA,WEB
C000842,CU000261,2022-05-24,PRINCIPAL,100.00,ACTIVA,APP
C000746,CU000262,2022-06-26,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000489,CU000263,2023-09-25,PRINCIPAL,50.00,ACTIVA,APP
C000399,CU000263,2023-09-25,COTITULAR,50.00,ACTIVA,SUCURSAL
C001175,CU000264,2022-02-22,PRINCIPAL,100.00,INACTIVA,SUCURSAL
C000490,CU000265,2024-12-21,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000581,CU000265,2024-12-21,COTITULAR,50.00,ACTIVA,SUCURSAL
C000660,CU000266,2022-03-13,PRINCIPAL,100.00,ACTIVA,APP
C000418,CU000267,2021-10-29,PRINCIPAL,100.00,ACTIVA,WEB
C000058,CU000268,2026-01-15,PRINCIPAL,100.00,ACTIVA,APP
C000391,CU000269,2021-05-20,PRINCIPAL,100.00,ACTIVA,WEB
C000757,CU000270,2023-06-24,PRINCIPAL,100.00,ACTIVA,APP
C000110,CU000271,2024-05-07,PRINCIPAL,100.00,ACTIVA,APP
C001096,CU000272,2025-11-14,PRINCIPAL,100.00,ACTIVA,APP
C000700,CU000273,2024-01-14,PRINCIPAL,50.00,ACTIVA,SUCURSAL
C000642,CU000273,2024-01-14,COTITULAR,50.00,ACTIVA,SUCURSAL
C000449,CU000274,2023-12-29,PRINCIPAL,100.00,ACTIVA,APP
C000377,CU000275,2023-04-03,PRINCIPAL,100.00,ACTIVA,WEB
C000340,CU000276,2019-07-18,PRINCIPAL,100.00,ACTIVA,WEB
C000534,CU000277,2025-01-18,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001191,CU000278,2022-03-08,PRINCIPAL,100.00,ACTIVA,APP
C000795,CU000279,2026-03-09,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000601,CU000280,2025-09-02,PRINCIPAL,100.00,ACTIVA,APP
C000154,CU000281,2025-12-29,PRINCIPAL,100.00,ACTIVA,APP
C000766,CU000282,2020-01-15,PRINCIPAL,100.00,ACTIVA,APP
C000747,CU000283,2025-07-17,PRINCIPAL,100.00,ACTIVA,APP
C000114,CU000284,2020-12-21,PRINCIPAL,100.00,ACTIVA,WEB
C000413,CU000285,2021-09-28,PRINCIPAL,100.00,ACTIVA,APP
C000304,CU000286,2024-10-07,PRINCIPAL,100.00,ACTIVA,APP
C001010,CU000287,2023-09-26,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000940,CU000288,2025-07-02,PRINCIPAL,100.00,ACTIVA,WEB
C001098,CU000289,2024-12-14,PRINCIPAL,100.00,ACTIVA,WEB
C000646,CU000290,2021-08-19,PRINCIPAL,100.00,ACTIVA,APP
C001022,CU000291,2022-07-19,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000860,CU000292,2023-10-13,PRINCIPAL,100.00,ACTIVA,APP
C001086,CU000293,2024-07-09,PRINCIPAL,100.00,INACTIVA,SUCURSAL
C000205,CU000294,2026-01-06,PRINCIPAL,100.00,ACTIVA,WEB
C000196,CU000295,2024-03-09,PRINCIPAL,100.00,ACTIVA,WEB
C000644,CU000296,2025-11-10,PRINCIPAL,100.00,ACTIVA,WEB
C001104,CU000297,2025-06-09,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000691,CU000298,2025-09-23,PRINCIPAL,100.00,ACTIVA,APP
C000190,CU000299,2024-11-22,PRINCIPAL,100.00,ACTIVA,APP
C000905,CU000300,2022-09-23,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000730,CU000301,2025-02-26,PRINCIPAL,100.00,ACTIVA,APP
C000934,CU000302,2023-07-16,PRINCIPAL,50.00,ACTIVA,APP
C001046,CU000302,2023-07-16,COTITULAR,50.00,ACTIVA,APP
C000847,CU000303,2026-02-16,PRINCIPAL,100.00,INACTIVA,APP
C000673,CU000304,2025-12-08,PRINCIPAL,50.00,ACTIVA,APP
C000010,CU000304,2025-12-08,COTITULAR,50.00,ACTIVA,APP
C000166,CU000305,2025-01-27,PRINCIPAL,100.00,ACTIVA,WEB
C000270,CU000306,2023-11-04,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000615,CU000307,2025-04-07,PRINCIPAL,100.00,ACTIVA,WEB
C000873,CU000308,2020-03-30,PRINCIPAL,100.00,ACTIVA,APP
C000570,CU000309,2025-07-17,PRINCIPAL,100.00,ACTIVA,APP
C001029,CU000310,2024-04-07,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000916,CU000311,2025-02-07,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000897,CU000312,2021-09-20,PRINCIPAL,50.00,ACTIVA,WEB
