tx_id,ubicacion_id,fecha_hora,precision_metros,metodo_geolocalizacion,riesgo_geo,es_vpn
TX0005361,U00074,2025-10-27T02:37:37Z,313,IP,5,false
TX0003909,U00028,2025-10-27T02:45:22Z,49,TORRE_CELULAR,3,false
TX0005437,U00036,2025-10-27T03:23:23Z,245,GPS,5,true
TX0004078,U00037,2025-10-27T03:48:50Z,27,GPS,4,false
TX0008805,U00028,2025-10-27T06:12:42Z,268,GPS,3,false
TX0000327,U00059,2025-10-27T07:37:49Z,127,GPS,5,false
TX0003600,U00075,2025-10-27T08:04:56Z,331,GPS,2,false
TX0002157,U00058,2025-10-27T08:37:16Z,93,TORRE_CELULAR,3,false
TX0002235,U00060,2025-10-27T09:37:48Z,41,IP,2,false
TX0006971,U00113,2025-10-27T09:58:17Z,105,WIFI,3,true
TX0007718,U00001,2025-10-27T10:23:34Z,214,WIFI,4,true
TX0003165,U00051,2025-10-27T10:31:36Z,262,TORRE_CELULAR,4,false
TX0005463,U00083,2025-10-27T10:44:00Z,158,GPS,5,false
TX0001935,U00145,2025-10-27T11:37:35Z,174,GPS,3,false
TX0003722,U00027,2025-10-27T12:34:22Z,47,GPS,2,false
TX0003287,U00099,2025-10-27T12:41:23Z,216,WIFI,5,false
TX0003937,U00050,2025-10-27T13:09:03Z,259,WIFI,5,false
TX0001312,U00026,2025-10-27T14:01:39Z,286,GPS,3,false
TX0002507,U00026,2025-10-27T14:09:04Z,143,GPS,3,false
TX0001256,U00053,2025-10-27T14:25:06Z,240,WIFI,5,false
TX0001685,U00148,2025-10-27T14:39:23Z,293,IP,3,true
TX0006801,U00027,2025-10-27T15:07:23Z,63,WIFI,2,false
TX0001299,U00151,2025-10-27T15:59:08Z,156,TORRE_CELULAR,3,false
TX0006075,U00028,2025-10-27T16:02:52Z,306,WIFI,3,false
TX0005149,U00001,2025-10-27T16:46:43Z,321,WIFI,4,false
TX0007438,U00121,2025-10-27T17:39:35Z,258,GPS,4,true
TX0002307,U00155,2025-10-27T17:50:44Z,136,GPS,3,false
TX0005525,U00027,2025-10-27T18:33:07Z,122,GPS,2,false
TX0000394,U00122,2025-10-27T18:47:03Z,236,IP,4,false
TX0002114,U00121,2025-10-27T19:31:14Z,90,GPS,4,false
TX0006060,U00145,2025-10-27T20:32:39Z,120,GPS,3,false
TX0008242,U00140,2025-10-27T20:58:51Z,146,GPS,3,false
TX0000241,U00027,2025-10-27T22:25:57Z,316,TORRE_CELULAR,2,false
TX0004729,U00146,2025-10-27T23:07:04Z,39,TORRE_CELULAR,5,false
TX0000285,U00107,2025-10-27T23:20:29Z,209,IP,3,false
TX0004823,U00030,2025-10-27T23:23:02Z,98,WIFI,4,false
TX0002436,U00121,2025-10-27T23:54:05Z,217,TORRE_CELULAR,4,false
TX0006343,U00129,2025-10-28T00:01:21Z,222,GPS,5,false
TX0003622,U00051,2025-10-28T00:04:21Z,223,GPS,4,false
TX0000913,U00098,2025-10-28T00:41:07Z,236,IP,5,false
TX0001900,U00028,2025-10-28T01:03:00Z,167,WIFI,3,false
TX0001155,U00002,2025-10-28T01:22:48Z,81,IP,3,false
TX0003811,U00073,2025-10-28T01:25:48Z,236,GPS,1,false
TX0004866,U00134,2025-10-28T02:07:59Z,323,GPS,5,true
TX0008017,U00128,2025-10-28T03:20:51Z,129,GPS,5,false
TX0007935,U00060,2025-10-28T04:06:19Z,61,GPS,2,false
TX0008108,U00051,2025-10-28T04:13:53Z,254,GPS,4,false
TX0005304,U00105,2025-10-28T04:56:41Z,256,WIFI,3,false
TX0002070,U00099,2025-10-28T05:19:34Z,282,GPS,5,false
TX0001574,U00095,2025-10-28T05:26:49Z,150,GPS,3,false
TX0007222,U00112,2025-10-28T05:41:35Z,206,WIFI,3,false
TX0004412,U00011,2025-10-28T06:08:25Z,168,GPS,4,true
TX0006021,U00100,2025-10-28T07:03:18Z,157,GPS,3,false
TX0008350,U00094,2025-10-28T07:17:32Z,135,WIFI,4,false
TX0008967,U00001,2025-10-28T07:24:13Z,298,WIFI,4,false
TX0007561,U00067,2025-10-28T07:52:09Z,139,GPS,2,false
TX0005765,U00098,2025-10-28T08:16:33Z,110,WIFI,5,false
TX0006762,U00130,2025-10-28T08:50:49Z,346,WIFI,5,false
TX0000120,U00073,2025-10-28T09:20:15Z,193,WIFI,1,false
TX0004689,U00050,2025-10-28T09:37:49Z,242,WIFI,5,false
TX0008836,U00097,2025-10-28T09:57:09Z,269,GPS,4,false
TX0001274,U00041,2025-10-28T10:04:14Z,86,GPS,4,false
TX0003098,U00144,2025-10-28T10:08:34Z,163,WIFI,5,false
TX0001443,U00098,2025-10-28T11:39:39Z,65,GPS,5,false
TX0002988,U00049,2025-10-28T12:01:46Z,292,TORRE_CELULAR,1,false
TX0001449,U00095,2025-10-28T12:34:52Z,69,WIFI,3,false
TX0006669,U00073,2025-10-28T12:43:13Z,190,GPS,1,false
TX0001920,U00079,2025-10-28T13:50:26Z,171,GPS,3,true
TX0003670,U00099,2025-10-28T13:53:54Z,344,IP,5,false
TX0000279,U00029,2025-10-28T14:09:15Z,159,GPS,5,false
TX0000890,U00025,2025-10-28T14:44:42Z,224,GPS,1,false
TX0000504,U00076,2025-10-28T16:01:49Z,125,GPS,5,false
TX0004722,U00097,2025-10-28T16:06:41Z,23,IP,4,false
TX0008185,U00133,2025-10-28T16:54:57Z,156,WIFI,4,false
TX0001233,U00074,2025-10-28T17:38:56Z,99,WIFI,5,true
TX0004178,U00132,2025-10-28T17:42:06Z,265,TORRE_CELULAR,2,true
TX0007797,U00147,2025-10-28T18:32:29Z,316,IP,5,false
TX0001037,U00122,2025-10-28T18:36:29Z,61,GPS,4,false
TX0000909,U00130,2025-10-28T19:03:54Z,289,TORRE_CELULAR,5,false
TX0002725,U00156,2025-10-28T19:29:41Z,218,IP,4,false
TX0004502,U00047,2025-10-28T20:27:49Z,61,GPS,5,true
TX0002681,U00146,2025-10-28T20:30:41Z,208,WIFI,5,false
TX0002482,U00073,2025-10-28T21:51:04Z,189,GPS,1,false
TX0005652,U00003,2025-10-28T22:31:31Z,201,GPS,5,false
TX0008150,U00113,2025-10-28T22:47:32Z,134,WIFI,3,false
TX0003627,U00010,2025-10-28T23:31:28Z,224,IP,5,false
TX0004801,U00148,2025-10-29T00:08:07Z,195,GPS,3,false
TX0008395,U00145,2025-10-29T00:19:19Z,263,IP,3,false
TX0003897,U00052,2025-10-29T00:33:51Z,271,GPS,5,false
TX0006285,U00146,2025-10-29T00:37:58Z,276,IP,5,false
TX0001940,U00091,2025-10-29T01:05:23Z,260,GPS,2,false
TX0004283,U00050,2025-10-29T01:30:04Z,64,GPS,5,false
TX0006880,U00074,2025-10-29T01:36:26Z,278,TORRE_CELULAR,5,true
TX0000537,U00098,2025-10-29T02:41:21Z,113,GPS,5,false
TX0006719,U00050,2025-10-29T02:44:14Z,227,WIFI,5,true
TX0005713,U00029,2025-10-29T02:49:50Z,341,WIFI,5,true
TX0005495,U00025,2025-10-29T02:51:32Z,328,GPS,1,false
TX0004567,U00001,2025-10-29T03:06:39Z,49,WIFI,4,false
TX0008992,U00121,2025-10-29T03:23:20Z,69,IP,4,false
TX0003553,U00147,2025-10-29T03:36:02Z,73,GPS,5,false
TX0007342,U00097,2025-10-29T03:38:38Z,34,WIFI,4,false
TX0008682,U00024,2025-10-29T03:49:49Z,191,TORRE_CELULAR,5,false
TX0004146,U00082,2025-10-29T05:06:27Z,156,IP,5,false
TX0000991,U00147,2025-10-29T05:07:14Z,282,GPS,5,false
TX0006239,U00135,2025-10-29T05:44:23Z,341,GPS,4,false
TX0003209,U00122,2025-10-29T05:56:50Z,327,GPS,4,false
TX0000789,U00123,2025-10-29T06:04:26Z,334,GPS,2,false
TX0004604,U00121,2025-10-29T06:41:54Z,252,GPS,4,false
TX0006086,U00095,2025-10-29T07:04:46Z,114,TORRE_CELULAR,3,false
TX0007955,U00003,2025-10-29T07:07:47Z,219,TORRE_CELULAR,5,false
TX0003579,U00022,2025-10-29T07:10:04Z,132,TORRE_CELULAR,5,true
TX0006518,U00002,2025-10-29T07:26:05Z,152,TORRE_CELULAR,3,false
TX0000163,U00051,2025-10-29T07:33:05Z,76,WIFI,4,false
TX0001662,U00153,2025-10-29T08:09:17Z,258,TORRE_CELULAR,3,false
TX0000367,U00074,2025-10-29T08:38:50Z,303,GPS,5,false
TX0004080,U00098,2025-10-29T09:05:51Z,85,GPS,5,false
TX0007230,U00124,2025-10-29T10:08:23Z,288,TORRE_CELULAR,5,true
TX0007012,U00036,2025-10-29T10:49:52Z,40,IP,5,false
TX0005769,U00101,2025-10-29T10:53:21Z,125,WIFI,5,true
TX0007042,U00106,2025-10-29T11:42:20Z,302,IP,4,false
TX0006711,U00132,2025-10-29T12:42:30Z,240,GPS,2,true
TX0002029,U00027,2025-10-29T12:50:10Z,296,IP,2,false
TX0000307,U00099,2025-10-29T12:53:42Z,320,WIFI,5,false
TX0007787,U00003,2025-10-29T13:11:58Z,333,IP,5,false
TX0007361,U00123,2025-10-29T13:48:31Z,311,GPS,2,false
TX0003028,U00080,2025-10-29T14:00:57Z,74,GPS,4,false
TX0006355,U00099,2025-10-29T14:35:34Z,160,IP,5,false
TX0002657,U00073,2025-10-29T15:55:15Z,80,GPS,1,false
TX0008574,U00074,2025-10-29T16:03:56Z,206,IP,5,false
TX0004907,U00027,2025-10-29T16:16:40Z,256,WIFI,2,false
TX0000421,U00026,2025-10-29T16:39:01Z,50,GPS,3,false
TX0000858,U00145,2025-10-29T16:53:28Z,305,TORRE_CELULAR,3,false
TX0005219,U00147,2025-10-29T17:02:33Z,132,GPS,5,false
TX0002206,U00099,2025-10-29T18:02:54Z,304,TORRE_CELULAR,5,false
TX0007242,U00052,2025-10-29T19:18:11Z,42,GPS,5,false
TX0001295,U00145,2025-10-29T19:22:30Z,77,WIFI,3,false
TX0002265,U00122,2025-10-29T19:42:33Z,233,GPS,4,false
TX0002857,U00001,2025-10-29T19:50:42Z,38,TORRE_CELULAR,4,false
TX0003731,U00098,2025-10-29T19:53:15Z,207,GPS,5,false
TX0005761,U00051,2025-10-29T19:58:43Z,194,IP,4,false
TX0001839,U00008,2025-10-29T20:17:15Z,205,IP,2,false
TX0006044,U00146,2025-10-29T20:18:32Z,137,WIFI,5,false
TX0008758,U00121,2025-10-29T20:53:04Z,196,GPS,4,true
TX0001407,U00074,2025-10-29T21:32:00Z,193,IP,5,false
TX0003015,U00140,2025-10-29T21:53:11Z,38,IP,3,false
TX0005892,U00051,2025-10-29T22:27:39Z,336,GPS,4,false
TX0000575,U00099,2025-10-29T23:08:51Z,306,GPS,5,false
TX0006123,U00144,2025-10-29T23:47:25Z,289,IP,5,false
TX0004351,U00027,2025-10-30T00:44:54Z,302,WIFI,2,false
TX0006284,U00145,2025-10-30T01:02:11Z,64,IP,3,false
TX0007916,U00051,2025-10-30T01:22:56Z,261,TORRE_CELULAR,4,false
TX0008526,U00106,2025-10-30T01:25:36Z,275,GPS,4,false
TX0007987,U00074,2025-10-30T01:57:10Z,263,IP,5,false
TX0004214,U00036,2025-10-30T02:09:47Z,278,IP,5,false
TX0005209,U00003,2025-10-30T02:11:16Z,108,TORRE_CELULAR,5,true
TX0002845,U00131,2025-10-30T02:17:44Z,120,GPS,4,false
TX0005506,U00097,2025-10-30T03:44:57Z,348,WIFI,4,false
TX0002933,U00005,2025-10-30T04:00:48Z,243,WIFI,3,false
TX0001963,U00086,2025-10-30T04:35:01Z,199,GPS,3,true
TX0003649,U00155,2025-10-30T05:18:08Z,137,IP,3,true
TX0000299,U00026,2025-10-30T06:09:05Z,155,GPS,3,false
TX0005061,U00122,2025-10-30T06:10:16Z,23,TORRE_CELULAR,4,false
TX0005780,U00050,2025-10-30T06:53:25Z,329,GPS,5,false
TX0000405,U00062,2025-10-30T07:08:32Z,150,GPS,5,false
TX0005023,U00053,2025-10-30T08:19:14Z,93,GPS,5,false
TX0005095,U00055,2025-10-30T08:22:04Z,327,TORRE_CELULAR,3,false
TX0002594,U00001,2025-10-30T08:33:26Z,215,WIFI,4,false
TX0001092,U00001,2025-10-30T08:47:29Z,274,TORRE_CELULAR,4,false
TX0004746,U00147,2025-10-30T08:56:26Z,213,TORRE_CELULAR,5,false
TX0007484,U00123,2025-10-30T09:10:02Z,88,GPS,2,false
TX0004961,U00024,2025-10-30T09:23:04Z,82,GPS,5,false
TX0008024,U00082,2025-10-30T09:45:36Z,143,TORRE_CELULAR,5,false
TX0002370,U00010,2025-10-30T10:00:15Z,323,GPS,5,false
TX0003945,U00066,2025-10-30T10:55:05Z,231,GPS,2,true
TX0002239,U00147,2025-10-30T10:57:52Z,91,GPS,5,false
TX0000829,U00108,2025-10-30T11:18:47Z,96,TORRE_CELULAR,4,false
TX0006679,U00103,2025-10-30T12:17:43Z,168,IP,2,false
TX0006847,U00050,2025-10-30T12:29:24Z,87,GPS,5,false
TX0000198,U00128,2025-10-30T12:30:33Z,128,TORRE_CELULAR,5,true
TX0004102,U00133,2025-10-30T12:32:20Z,156,GPS,4,false
TX0001115,U00145,2025-10-30T13:11:44Z,91,TORRE_CELULAR,3,false
TX0005464,U00121,2025-10-30T13:57:29Z,132,GPS,4,false
TX0002882,U00145,2025-10-30T14:13:05Z,110,WIFI,3,true
TX0005094,U00050,2025-10-30T14:25:45Z,170,IP,5,false
TX0006103,U00121,2025-10-30T14:47:15Z,252,GPS,4,false
TX0001033,U00071,2025-10-30T15:08:44Z,100,GPS,5,false
TX0004660,U00052,2025-10-30T15:08:50Z,350,IP,5,false
TX0000881,U00001,2025-10-30T15:38:41Z,215,WIFI,4,false
TX0004072,U00049,2025-10-30T15:51:08Z,98,WIFI,1,false
