tx_id,alerta_id,regla,score_modelo,version_modelo,fecha_deteccion,auto_bloqueo
TX0003819,AL0000048,R4_DISPOSITIVO,0.90,v1.1,2026-02-14T02:33:14Z,false
TX0007692,AL0000049,R1_ALTO_MONTO_INTL,0.89,v1.1,2026-02-25T20:00:23Z,false
TX0003979,AL0000050,R2_VELOCIDAD,0.82,v1.1,2026-02-28T07:48:54Z,false
TX0003657,AL0000051,R2_VELOCIDAD,0.83,v1.0,2026-03-11T02:43:47Z,false
TX0007020,AL0000052,R5_PATRON_RED,0.86,v1.0,2026-04-12T04:19:09Z,false
TX0003310,AL0000053,R5_PATRON_RED,0.86,v1.1,2026-04-13T23:13:26Z,false
TX0000359,AL0000054,R1_ALTO_MONTO_INTL,0.90,v1.1,2026-04-16T04:04:50Z,false
TX0003462,AL0000055,R4_DISPOSITIVO,0.87,v1.1,2025-11-14T15:51:30Z,false
TX0004493,AL0000056,R5_PATRON_RED,0.85,v1.1,2025-12-19T23:52:29Z,false
TX0006644,AL0000057,R4_DISPOSITIVO,0.89,v2.0,2025-12-28T02:39:59Z,false
TX0003229,AL0000058,R4_DISPOSITIVO,0.83,v1.0,2025-12-29T15:43:31Z,false
TX0006398,AL0000059,R5_PATRON_RED,0.80,v2.0,2026-01-16T23:39:24Z,false
TX0000440,AL0000060,R2_VELOCIDAD,0.90,v1.1,2026-02-15T06:24:03Z,false
TX0008883,AL0000061,R2_VELOCIDAD,0.86,v1.0,2026-03-06T00:31:56Z,false
TX0001578,AL0000062,R4_DISPOSITIVO,0.89,v1.1,2026-04-16T06:22:35Z,false
TX0004823,AL0000063,R5_PATRON_RED,0.85,v1.1,2025-10-27T23:23:55Z,false
TX0007008,AL0000064,R4_DISPOSITIVO,0.86,v1.1,2025-11-03T20:37:13Z,false
TX0002554,AL0000065,R4_DISPOSITIVO,0.83,v1.1,2025-11-21T23:50:14Z,false
TX0008855,AL0000066,R4_DISPOSITIVO,0.84,v1.1,2025-12-26T01:05:26Z,false
TX0003412,AL0000067,R5_PATRON_RED,0.85,v1.0,2026-01-02T23:40:59Z,false
TX0002876,AL0000068,R2_VELOCIDAD,0.83,v1.1,2026-01-30T05:37:23Z,false
TX0007861,AL0000069,R3_COMERCIO_BLACKLIST,0.78,v1.1,2026-02-05T08:57:30Z,false
TX0008444,AL0000070,R2_VELOCIDAD,0.84,v2.0,2026-02-21T06:12:51Z,false
TX0003576,AL0000071,R4_DISPOSITIVO,0.81,v1.1,2026-02-26T05:43:39Z,false
TX0001952,AL0000072,R4_DISPOSITIVO,0.84,v1.1,2026-03-15T14:33:26Z,false
TX0000778,AL0000073,R2_VELOCIDAD,0.81,v1.0,2026-03-29T15:36:44Z,false
TX0008929,AL0000074,R4_DISPOSITIVO,0.81,v1.1,2026-03-31T22:25:51Z,false
TX0003030,AL0000075,R2_VELOCIDAD,0.84,v1.1,2026-04-05T23:16:29Z,false
TX0008613,AL0000076,R4_DISPOSITIVO,0.80,v1.1,2026-04-19T02:10:45Z,false
TX0004390,AL0000077,R3_COMERCIO_BLACKLIST,0.78,v1.1,2026-04-19T23:55:45Z,false
TX0002943,AL0000078,R2_VELOCIDAD,0.82,v2.0,2026-04-21T02:28:58Z,false
TX0004803,AL0000079,R5_PATRON_RED,0.85,v1.1,2025-10-27T02:20:40Z,false
TX0006617,AL0000080,R4_DISPOSITIVO,0.82,v1.0,2025-10-30T22:01:56Z,false
TX0001298,AL0000081,R5_PATRON_RED,0.78,v2.0,2025-11-01T20:32:22Z,false
TX0001638,AL0000082,R2_VELOCIDAD,0.83,v1.1,2025-11-06T14:06:14Z,false
TX0006433,AL0000083,R4_DISPOSITIVO,0.83,v2.0,2025-11-17T06:44:54Z,false
TX0000337,AL0000084,R4_DISPOSITIVO,0.82,v1.1,2025-11-20T04:29:08Z,false
TX0004930,AL0000085,R3_COMERCIO_BLACKLIST,0.84,v2.0,2025-11-24T00:46:52Z,false
TX0002228,AL0000086,R4_DISPOSITIVO,0.79,v2.0,2025-11-28T14:27:25Z,false
TX0001626,AL0000087,R3_COMERCIO_BLACKLIST,0.87,v1.1,2025-12-06T11:19:40Z,false
TX0002690,AL0000088,R1_ALTO_MONTO_INTL,0.88,v1.1,2025-12-15T20:06:49Z,false
TX0001062,AL0000089,R2_VELOCIDAD,0.79,v1.1,2026-02-03T01:04:03Z,false
TX0001851,AL0000090,R2_VELOCIDAD,0.85,v1.1,2026-02-06T23:57:17Z,false
TX0006784,AL0000091,R5_PATRON_RED,0.88,v2.0,2026-02-10T09:00:32Z,false
TX0007293,AL0000092,R2_VELOCIDAD,0.77,v1.0,2026-03-05T04:16:33Z,false
TX0003282,AL0000093,R5_PATRON_RED,0.80,v2.0,2026-03-22T13:38:57Z,false
TX0005275,AL0000094,R4_DISPOSITIVO,0.83,v1.1,2026-04-18T03:18:33Z,false
TX0004854,AL0000095,R4_DISPOSITIVO,0.83,v1.1,2025-11-01T23:17:55Z,false
TX0007415,AL0000096,R5_PATRON_RED,0.81,v1.1,2025-12-18T12:22:19Z,false
TX0003788,AL0000097,R5_PATRON_RED,0.86,v1.0,2026-01-13T04:02:43Z,false
TX0008240,AL0000098,R5_PATRON_RED,0.84,v1.1,2026-01-15T02:15:55Z,false
TX0000905,AL0000099,R5_PATRON_RED,0.81,v1.1,2026-01-15T02:47:35Z,false
TX0001704,AL0000100,R4_DISPOSITIVO,0.88,v1.0,2026-02-11T02:16:47Z,false
TX0006009,AL0000101,R4_DISPOSITIVO,0.82,v1.1,2026-02-13T11:04:19Z,false
TX0001782,AL0000102,R2_VELOCIDAD,0.80,v2.0,2026-02-26T03:12:08Z,false
TX0005049,AL0000103,R4_DISPOSITIVO,0.82,v2.0,2026-04-02T11:38:23Z,false
TX0004936,AL0000104,R3_COMERCIO_BLACKLIST,0.80,v1.1,2026-04-03T09:12:02Z,false
TX0001207,AL0000105,R3_COMERCIO_BLACKLIST,0.77,v1.1,2026-04-15T13:58:18Z,false
TX0000696,AL0000106,R4_DISPOSITIVO,0.76,v1.0,2026-04-20T21:15:31Z,false
TX0004214,AL0000107,R5_PATRON_RED,0.77,v2.0,2025-10-30T02:09:54Z,false
TX0001354,AL0000108,R5_PATRON_RED,0.85,v1.1,2025-10-31T23:52:04Z,false
TX0005907,AL0000109,R5_PATRON_RED,0.85,v2.0,2025-12-02T01:17:30Z,false
TX0001693,AL0000110,R4_DISPOSITIVO,0.84,v1.1,2025-12-06T15:27:47Z,false
TX0008441,AL0000111,R5_PATRON_RED,0.86,v1.1,2025-12-18T13:18:52Z,false
TX0003258,AL0000112,R5_PATRON_RED,0.79,v2.0,2026-01-08T05:02:02Z,false
TX0000353,AL0000113,R2_VELOCIDAD,0.80,v1.1,2026-01-22T03:18:37Z,false
TX0004605,AL0000114,R4_DISPOSITIVO,0.86,v2.0,2026-02-06T06:25:41Z,false
TX0000361,AL0000115,R5_PATRON_RED,0.86,v1.1,2026-02-20T01:06:22Z,false
TX0005962,AL0000116,R4_DISPOSITIVO,0.79,v2.0,2026-02-26T13:15:13Z,false
TX0007195,AL0000117,R5_PATRON_RED,0.85,v1.1,2026-03-09T02:44:45Z,false
TX0004877,AL0000118,R1_ALTO_MONTO_INTL,0.75,v1.1,2026-03-23T23:18:08Z,false
TX0008519,AL0000119,R2_VELOCIDAD,0.85,v2.0,2025-11-09T02:55:49Z,false
TX0008229,AL0000120,R5_PATRON_RED,0.81,v1.0,2025-12-10T00:19:58Z,false
TX0000344,AL0000121,R2_VELOCIDAD,0.84,v1.1,2025-12-21T08:09:39Z,false
TX0001743,AL0000122,R3_COMERCIO_BLACKLIST,0.76,v1.0,2026-01-13T06:52:39Z,false
TX0000347,AL0000123,R4_DISPOSITIVO,0.81,v2.0,2026-01-15T17:34:11Z,false
TX0003033,AL0000124,R5_PATRON_RED,0.82,v1.1,2026-01-30T02:31:13Z,false
TX0005371,AL0000125,R5_PATRON_RED,0.83,v1.1,2026-02-03T04:21:23Z,false
TX0006337,AL0000126,R2_VELOCIDAD,0.75,v1.1,2026-02-07T17:02:52Z,false
TX0001314,AL0000127,R4_DISPOSITIVO,0.81,v2.0,2026-02-15T13:50:02Z,false
TX0005003,AL0000128,R5_PATRON_RED,0.84,v1.1,2026-02-16T00:31:59Z,false
TX0007881,AL0000129,R5_PATRON_RED,0.82,v1.1,2026-02-19T01:42:27Z,false
TX0006650,AL0000130,R5_PATRON_RED,0.84,v1.1,2026-02-24T03:27:51Z,false
TX0006848,AL0000131,R4_DISPOSITIVO,0.78,v2.0,2026-03-04T13:36:30Z,false
TX0008050,AL0000132,R3_COMERCIO_BLACKLIST,0.76,v1.1,2026-03-07T20:17:34Z,false
TX0002240,AL0000133,R4_DISPOSITIVO,0.79,v1.1,2026-03-10T08:46:21Z,false
TX0004066,AL0000134,R1_ALTO_MONTO_INTL,0.75,v1.1,2026-03-15T11:10:30Z,false
TX0002834,AL0000135,R5_PATRON_RED,0.84,v1.1,2026-03-16T00:22:38Z,false
TX0003235,AL0000136,R5_PATRON_RED,0.86,v1.1,2026-04-11T04:09:53Z,false
TX0004078,AL0000137,R5_PATRON_RED,0.83,v1.0,2025-10-27T03:50:33Z,false
TX0007949,AL0000138,R5_PATRON_RED,0.73,v2.0,2025-11-16T11:54:03Z,false
TX0007310,AL0000139,R5_PATRON_RED,0.83,v1.1,2025-12-04T06:01:08Z,false
TX0008787,AL0000140,R3_COMERCIO_BLACKLIST,0.85,v1.1,2025-12-10T16:51:11Z,false
TX0006326,AL0000141,R5_PATRON_RED,0.75,v1.1,2025-12-17T03:20:42Z,false
TX0007701,AL0000142,R5_PATRON_RED,0.78,v1.1,2025-12-21T07:48:39Z,false
TX0005533,AL0000143,R4_DISPOSITIVO,0.83,v1.1,2025-12-21T23:45:57Z,false
TX0006281,AL0000144,R4_DISPOSITIVO,0.78,v1.0,2025-12-31T07:22:09Z,false
TX0004883,AL0000145,R5_PATRON_RED,0.78,v1.0,2026-01-07T03:00:19Z,false
TX0007363,AL0000146,R2_VELOCIDAD,0.83,v1.1,2026-01-07T03:54:05Z,false
TX0002916,AL0000147,R5_PATRON_RED,0.77,v1.1,2026-01-11T00:31:07Z,false
TX0002341,AL0000148,R5_PATRON_RED,0.78,v1.1,2026-01-14T04:51:02Z,false
TX0006996,AL0000149,R4_DISPOSITIVO,0.76,v1.0,2026-01-15T04:52:03Z,false
TX0006412,AL0000150,R5_PATRON_RED,0.74,v1.1,2026-01-23T02:40:01Z,false
TX0004579,AL0000151,R2_VELOCIDAD,0.84,v1.1,2026-01-27T15:11:27Z,false
TX0000342,AL0000152,R5_PATRON_RED,0.81,v1.1,2026-01-27T20:45:38Z,false
TX0005387,AL0000153,R2_VELOCIDAD,0.79,v1.1,2026-01-28T23:02:09Z,false
TX0006339,AL0000154,R5_PATRON_RED,0.84,v2.0,2026-02-01T23:14:46Z,false
TX0003241,AL0000155,R2_VELOCIDAD,0.82,v1.1,2026-02-07T20:58:21Z,false
TX0004041,AL0000156,R4_DISPOSITIVO,0.81,v1.1,2026-02-28T17:55:43Z,false
TX0003124,AL0000157,R5_PATRON_RED,0.81,v1.1,2026-03-13T21:01:31Z,false
TX0005230,AL0000158,R2_VELOCIDAD,0.75,v1.1,2026-04-02T15:20:51Z,false
TX0006098,AL0000159,R4_DISPOSITIVO,0.78,v1.1,2026-04-03T03:57:30Z,false
TX0001784,AL0000160,R4_DISPOSITIVO,0.79,v2.0,2025-10-24T08:25:11Z,false
TX0005769,AL0000161,R4_DISPOSITIVO,0.83,v1.1,2025-10-29T10:54:12Z,false
TX0002658,AL0000162,R5_PATRON_RED,0.75,v1.1,2025-11-09T01:23:49Z,false
TX0004474,AL0000163,R4_DISPOSITIVO,0.76,v1.0,2025-11-14T14:56:01Z,false
TX0002131,AL0000164,R4_DISPOSITIVO,0.76,v2.0,2025-12-01T01:11:47Z,false
TX0002050,AL0000165,R4_DISPOSITIVO,0.77,v1.1,2025-12-06T06:23:23Z,false
TX0006015,AL0000166,R5_PATRON_RED,0.76,v1.0,2025-12-26T03:21:06Z,false
TX0007980,AL0000167,R5_PATRON_RED,0.83,v1.1,2026-01-23T03:19:36Z,false
TX0001696,AL0000168,R5_PATRON_RED,0.81,v1.0,2026-01-26T02:31:03Z,false
TX0005322,AL0000169,R5_PATRON_RED,0.75,v1.1,2026-02-09T01:29:33Z,false
TX0002928,AL0000170,R2_VELOCIDAD,0.81,v1.1,2026-02-14T22:31:24Z,false
TX0005053,AL0000171,R2_VELOCIDAD,0.72,v1.0,2026-02-23T00:16:45Z,false
TX0004747,AL0000172,R5_PATRON_RED,0.76,v1.0,2026-02-28T00:29:57Z,false
TX0001469,AL0000173,R2_VELOCIDAD,0.79,v1.0,2026-03-01T22:34:08Z,false
TX0006774,AL0000174,R5_PATRON_RED,0.78,v2.0,2026-03-05T12:36:27Z,false
TX0007820,AL0000175,R5_PATRON_RED,0.81,v1.1,2026-03-12T03:38:29Z,false
TX0006700,AL0000176,R3_COMERCIO_BLACKLIST,0.79,v2.0,2026-03-13T19:37:32Z,false
TX0007843,AL0000177,R5_PATRON_RED,0.79,v1.1,2026-03-15T23:10:25Z,false
TX0002662,AL0000178,R2_VELOCIDAD,0.74,v1.1,2026-03-17T04:11:52Z,false
TX0005411,AL0000179,R5_PATRON_RED,0.83,v1.0,2026-04-06T05:49:24Z,false
TX0008654,AL0000180,R5_PATRON_RED,0.75,v1.1,2026-04-10T04:44:24Z,false
TX0007266,AL0000181,R4_DISPOSITIVO,0.83,v1.0,2026-04-12T03:39:24Z,false
TX0004412,AL0000182,R4_DISPOSITIVO,0.81,v1.0,2025-10-28T06:08:33Z,false
TX0008445,AL0000183,R5_PATRON_RED,0.83,v1.1,2025-11-02T15:32:30Z,false
TX0003698,AL0000184,R1_ALTO_MONTO_INTL,0.80,v1.1,2025-11-04T03:09:12Z,false
TX0002829,AL0000185,R4_DISPOSITIVO,0.82,v1.0,2025-11-11T14:16:19Z,false
TX0001271,AL0000186,R4_DISPOSITIVO,0.73,v2.0,2025-11-24T19:57:34Z,false
TX0007238,AL0000187,R5_PATRON_RED,0.83,v1.0,2025-11-30T14:52:18Z,false
TX0001424,AL0000188,R5_PATRON_RED,0.74,v1.0,2025-12-03T15:20:28Z,false
TX0000836,AL0000189,R5_PATRON_RED,0.80,v2.0,2025-12-05T16:06:30Z,false
TX0004209,AL0000190,R5_PATRON_RED,0.80,v1.1,2025-12-07T23:46:17Z,false
TX0008048,AL0000191,R5_PATRON_RED,0.83,v2.0,2025-12-23T00:27:06Z,false
TX0006286,AL0000192,R2_VELOCIDAD,0.75,v2.0,2025-12-28T05:10:02Z,false
TX0001193,AL0000193,R5_PATRON_RED,0.72,v2.0,2026-01-01T03:54:09Z,false
TX0006470,AL0000194,R5_PATRON_RED,0.73,v2.0,2026-01-13T02:27:26Z,false
TX0002141,AL0000195,R5_PATRON_RED,0.83,v1.1,2026-01-14T23:38:24Z,false
TX0000345,AL0000196,R5_PATRON_RED,0.72,v1.1,2026-01-20T14:59:41Z,false
TX0007267,AL0000197,R3_COMERCIO_BLACKLIST,0.75,v1.1,2026-02-02T13:03:32Z,false
TX0008857,AL0000198,R3_COMERCIO_BLACKLIST,0.75,v2.0,2026-02-08T02:54:01Z,false
TX0003565,AL0000199,R4_DISPOSITIVO,0.76,v1.1,2026-02-25T12:55:55Z,false
TX0003671,AL0000200,R4_DISPOSITIVO,0.78,v1.0,2026-03-02T13:00:54Z,false
TX0007048,AL0000201,R5_PATRON_RED,0.75,v1.1,2026-03-07T00:43:53Z,false
TX0005955,AL0000202,R4_DISPOSITIVO,0.73,v1.1,2026-03-13T04:00:05Z,false
TX0003458,AL0000203,R5_PATRON_RED,0.78,v1.1,2026-03-14T23:39:43Z,false
TX0004675,AL0000204,R5_PATRON_RED,0.79,v1.0,2026-03-21T02:51:55Z,false
TX0006887,AL0000205,R5_PATRON_RED,0.81,v2.0,2026-03-22T00:07:18Z,false
TX0006580,AL0000206,R5_PATRON_RED,0.81,v1.1,2026-04-03T04:00:08Z,false
TX0002365,AL0000207,R5_PATRON_RED,0.76,v2.0,2026-04-03T11:51:48Z,false
TX0002174,AL0000208,R3_COMERCIO_BLACKLIST,0.76,v2.0,2026-04-09T06:20:43Z,false
TX0001026,AL0000209,R2_VELOCIDAD,0.74,v2.0,2025-10-25T00:20:36Z,false
TX0002375,AL0000210,R5_PATRON_RED,0.81,v2.0,2025-11-02T15:33:54Z,false
TX0001808,AL0000211,R2_VELOCIDAD,0.72,v2.0,2025-11-06T00:48:44Z,false
TX0004441,AL0000212,R4_DISPOSITIVO,0.81,v2.0,2025-11-08T02:52:36Z,false
TX0008221,AL0000213,R3_COMERCIO_BLACKLIST,0.77,v1.1,2025-11-10T08:08:04Z,false
TX0004215,AL0000214,R2_VELOCIDAD,0.80,v1.1,2025-11-11T01:22:43Z,false
TX0008971,AL0000215,R3_COMERCIO_BLACKLIST,0.75,v1.0,2025-11-12T10:28:11Z,false
TX0004858,AL0000216,R4_DISPOSITIVO,0.73,v1.0,2025-11-24T16:27:40Z,false
TX0003582,AL0000217,R2_VELOCIDAD,0.77,v2.0,2025-11-28T05:58:27Z,false
TX0002885,AL0000218,R5_PATRON_RED,0.79,v1.0,2025-11-30T07:25:09Z,false
TX0007273,AL0000219,R3_COMERCIO_BLACKLIST,0.78,v1.0,2025-12-02T12:00:12Z,false
TX0003911,AL0000220,R4_DISPOSITIVO,0.76,v1.1,2025-12-07T02:38:24Z,false
TX0001374,AL0000221,R2_VELOCIDAD,0.82,v1.1,2025-12-11T20:36:12Z,false
TX0003753,AL0000222,R5_PATRON_RED,0.82,v2.0,2025-12-11T23:22:48Z,false
TX0007699,AL0000223,R5_PATRON_RED,0.76,v1.0,2025-12-13T19:38:00Z,false
TX0007231,AL0000224,R4_DISPOSITIVO,0.73,v2.0,2025-12-14T05:41:13Z,false
TX0000008,AL0000225,R4_DISPOSITIVO,0.73,v2.0,2025-12-17T16:43:26Z,false
TX0007025,AL0000226,R5_PATRON_RED,0.82,v1.1,2025-12-18T23:49:24Z,false
TX0002473,AL0000227,R2_VELOCIDAD,0.78,v1.1,2026-01-01T02:36:15Z,false
TX0002028,AL0000228,R1_ALTO_MONTO_INTL,0.72,v1.0,2026-01-06T09:04:16Z,false
TX0001835,AL0000229,R5_PATRON_RED,0.76,v1.1,2026-01-15T19:26:00Z,false
TX0008251,AL0000230,R2_VELOCIDAD,0.75,v1.0,2026-01-18T02:48:28Z,false
TX0008408,AL0000231,R5_PATRON_RED,0.72,v1.1,2026-01-20T05:35:07Z,false
TX0000546,AL0000232,R5_PATRON_RED,0.78,v1.1,2026-01-24T15:48:49Z,false
TX0003155,AL0000233,R2_VELOCIDAD,0.72,v1.0,2026-02-11T20:03:14Z,false
TX0002054,AL0000234,R2_VELOCIDAD,0.71,v2.0,2026-02-12T04:13:36Z,false
TX0004821,AL0000235,R5_PATRON_RED,0.77,v1.1,2026-02-13T09:57:05Z,false
TX0008739,AL0000236,R2_VELOCIDAD,0.75,v1.0,2026-02-15T04:05:21Z,false
TX0004980,AL0000237,R4_DISPOSITIVO,0.71,v1.0,2026-02-15T19:26:06Z,false
TX0006345,AL0000238,R5_PATRON_RED,0.79,v2.0,2026-02-19T01:56:25Z,false
TX0005196,AL0000239,R2_VELOCIDAD,0.82,v1.1,2026-03-02T11:26:48Z,false
TX0002527,AL0000240,R5_PATRON_RED,0.78,v2.0,2026-03-06T02:34:01Z,false
TX0006691,AL0000241,R5_PATRON_RED,0.77,v1.1,2026-03-14T23:55:55Z,false
TX0008912,AL0000242,R2_VELOCIDAD,0.74,v1.1,2026-04-01T04:44:06Z,false
TX0001644,AL0000243,R5_PATRON_RED,0.81,v1.1,2026-04-10T19:59:01Z,false
TX0002555,AL0000244,R4_DISPOSITIVO,0.76,v2.0,2026-04-16T00:21:20Z,false
TX0003330,AL0000245,R5_PATRON_RED,0.71,v1.0,2026-04-16T03:09:52Z,false
TX0000498,AL0000246,R2_VELOCIDAD,0.70,v1.1,2026-04-16T11:39:40Z,false
TX0004658,AL0000247,R4_DISPOSITIVO,0.80,v1.1,2026-04-17T05:25:23Z,false
TX0003511,AL0000248,R3_COMERCIO_BLACKLIST,0.76,v1.1,2026-04-18T18:00:09Z,false
TX0001037,AL0000249,R5_PATRON_RED,0.75,v2.0,2025-10-28T18:37:18Z,false
TX0008682,AL0000250,R5_PATRON_RED,0.81,v2.0,2025-10-29T03:50:50Z,false
TX0003707,AL0000251,R5_PATRON_RED,0.74,v1.1,2025-10-30T23:23:49Z,false
TX0007826,AL0000252,R2_VELOCIDAD,0.74,v1.1,2025-11-14T08:48:23Z,false
TX0006027,AL0000253,R2_VELOCIDAD,0.73,v1.1,2025-12-03T23:53:20Z,false
TX0008218,AL0000254,R5_PATRON_RED,0.77,v1.1,2025-12-08T03:47:44Z,false
TX0001467,AL0000255,R5_PATRON_RED,0.71,v1.0,2025-12-08T18:49:28Z,false
TX0005862,AL0000256,R2_VELOCIDAD,0.78,v1.1,2025-12-15T00:31:30Z,false
TX0002936,AL0000257,R5_PATRON_RED,0.69,v1.1,2025-12-27T02:55:29Z,false
TX0001668,AL0000258,R4_DISPOSITIVO,0.75,v1.1,2026-01-06T18:20:45Z,false
TX0004129,AL0000259,R1_ALTO_MONTO_INTL,0.73,v1.1,2026-01-10T08:12:52Z,false
TX0006678,AL0000260,R2_VELOCIDAD,0.73,v1.1,2026-01-23T01:33:54Z,false
TX0002944,AL0000261,R2_VELOCIDAD,0.77,v2.0,2026-01-24T02:41:56Z,false
TX0007574,AL0000262,R2_VELOCIDAD,0.75,v1.1,2026-02-01T23:12:13Z,false
TX0003203,AL0000263,R5_PATRON_RED,0.73,v1.1,2026-02-13T02:54:53Z,false
TX0007851,AL0000264,R4_DISPOSITIVO,0.80,v1.1,2026-02-15T21:57:02Z,false
TX0004477,AL0000265,R5_PATRON_RED,0.72,v2.0,2026-02-16T04:18:02Z,false
TX0005924,AL0000266,R5_PATRON_RED,0.76,v1.0,2026-02-23T16:15:17Z,false
TX0003520,AL0000267,R5_PATRON_RED,0.76,v1.1,2026-02-28T16:32:51Z,false
TX0006452,AL0000268,R4_DISPOSITIVO,0.76,v1.1,2026-03-01T00:25:58Z,false
TX0006627,AL0000269,R5_PATRON_RED,0.81,v1.1,2026-03-05T21:59:03Z,false
TX0000071,AL0000270,R5_PATRON_RED,0.80,v1.1,2026-03-12T21:24:45Z,false
TX0007897,AL0000271,R2_VELOCIDAD,0.69,v1.1,2026-03-14T21:02:24Z,false
TX0005004,AL0000272,R3_COMERCIO_BLACKLIST,0.74,v1.1,2026-03-24T09:23:47Z,false
TX0005229,AL0000273,R4_DISPOSITIVO,0.73,v1.1,2026-03-27T07:00:57Z,false
TX0005162,AL0000274,R4_DISPOSITIVO,0.72,v1.0,2026-04-13T16:57:08Z,false
TX0000907,AL0000275,R5_PATRON_RED,0.80,v2.0,2026-04-18T22:28:31Z,false
