tx_id,comercio_id,terminal_id,canal_pago,autorizacion,comision_pct,fecha_hora
TX0002497,M000040,TERM-42653,WEB,AUTH-272194,2.95,2025-10-24T17:05:23Z
TX0007252,M000009,TERM-70576,POS,AUTH-186677,3.71,2025-10-24T20:09:39Z
TX0008772,M000445,TERM-23390,WEB,AUTH-369376,1.18,2025-10-24T21:08:56Z
TX0006947,M000304,TERM-10404,APP,AUTH-172284,0.71,2025-10-24T21:27:01Z
TX0002374,M000260,TERM-95208,WEB,AUTH-610609,2.33,2025-10-24T23:15:48Z
TX0003614,M000415,TERM-92373,WEB,AUTH-405736,1.12,2025-10-24T23:29:51Z
TX0005285,M000143,TERM-27535,APP,AUTH-338351,2.95,2025-10-24T23:31:16Z
TX0005203,M000174,TERM-51385,WEB,AUTH-476972,2.41,2025-10-24T23:37:38Z
TX0006089,M000088,TERM-92588,WEB,AUTH-831139,0.84,2025-10-24T23:57:09Z
TX0001026,M000137,TERM-97600,WEB,AUTH-216271,2.98,2025-10-25T00:20:29Z
TX0008713,M000276,TERM-43917,APP,AUTH-913288,0.72,2025-10-25T01:51:03Z
TX0008595,M000394,TERM-76608,APP,AUTH-213485,1.71,2025-10-25T04:40:39Z
TX0005968,M000307,TERM-73356,APP,AUTH-531762,3.67,2025-10-25T05:02:13Z
TX0001493,M000325,TERM-17139,WEB,AUTH-340146,3.16,2025-10-25T06:02:18Z
TX0008209,M000263,TERM-36692,WEB,AUTH-210406,3.81,2025-10-25T07:09:51Z
TX0006332,M000305,TERM-67739,APP,AUTH-611651,2.86,2025-10-25T07:23:34Z
TX0005067,M000143,TERM-63936,APP,AUTH-748952,0.88,2025-10-25T08:19:25Z
TX0000294,M000180,TERM-36989,WEB,AUTH-248670,2.35,2025-10-25T08:34:04Z
TX0007126,M000159,TERM-54855,WEB,AUTH-955465,1.82,2025-10-25T09:10:03Z
TX0005636,M000098,TERM-37212,APP,AUTH-497590,3.59,2025-10-25T10:27:02Z
TX0002127,M000389,TERM-39215,POS,AUTH-655800,3.67,2025-10-25T10:55:31Z
TX0008057,M000369,TERM-53114,POS,AUTH-147277,2.37,2025-10-25T12:13:30Z
TX0002440,M000193,TERM-21677,APP,AUTH-135278,3.23,2025-10-25T12:28:44Z
TX0003728,M000216,TERM-41746,WEB,AUTH-447539,2.77,2025-10-25T12:40:13Z
TX0001575,M000276,TERM-99875,WEB,AUTH-927515,3.91,2025-10-25T12:44:23Z
TX0006541,M000232,TERM-85297,POS,AUTH-340489,3.82,2025-10-25T13:28:13Z
TX0003344,M000444,TERM-76100,WEB,AUTH-597578,2.12,2025-10-25T13:30:49Z
TX0003831,M000367,TERM-28661,APP,AUTH-822368,3.11,2025-10-25T13:36:07Z
TX0008604,M000432,TERM-56331,APP,AUTH-942350,1.06,2025-10-25T14:55:39Z
TX0005315,M000219,TERM-85567,APP,AUTH-138774,4.13,2025-10-25T15:14:13Z
TX0004937,M000287,TERM-44704,WEB,AUTH-580816,1.28,2025-10-25T15:54:46Z
TX0002234,M000075,TERM-71431,POS,AUTH-870818,0.84,2025-10-25T16:23:44Z
TX0007750,M000360,TERM-52208,POS,AUTH-166812,3.87,2025-10-25T19:52:38Z
TX0008928,M000248,TERM-15006,WEB,AUTH-705152,1.32,2025-10-25T20:06:36Z
TX0000234,M000257,TERM-54355,APP,AUTH-527707,4.18,2025-10-25T20:58:41Z
TX0002910,M000307,TERM-88081,APP,AUTH-224046,3.68,2025-10-25T21:16:07Z
TX0001788,M000032,TERM-43529,APP,AUTH-612437,2.15,2025-10-26T02:30:46Z
TX0006007,M000359,TERM-85319,WEB,AUTH-958821,3.87,2025-10-26T04:27:39Z
TX0007734,M000399,TERM-57762,WEB,AUTH-328832,3.67,2025-10-26T04:50:36Z
TX0001605,M000313,TERM-35379,WEB,AUTH-416865,2.93,2025-10-26T05:53:43Z
TX0006322,M000004,TERM-32345,WEB,AUTH-697686,3.24,2025-10-26T05:56:43Z
TX0008537,M000426,TERM-51603,APP,AUTH-471259,1.82,2025-10-26T06:46:10Z
TX0004650,M000012,TERM-54750,WEB,AUTH-495594,2.25,2025-10-26T08:09:00Z
TX0008623,M000426,TERM-22870,POS,AUTH-249071,3.00,2025-10-26T08:39:20Z
TX0003568,M000082,TERM-58232,APP,AUTH-128004,1.11,2025-10-26T11:55:22Z
TX0004374,M000294,TERM-42844,WEB,AUTH-458334,3.99,2025-10-26T12:44:13Z
TX0006289,M000439,TERM-71220,POS,AUTH-917985,2.69,2025-10-26T12:58:43Z
TX0008451,M000372,TERM-88690,APP,AUTH-819842,3.25,2025-10-26T13:55:00Z
TX0002737,M000121,TERM-68084,APP,AUTH-436474,3.62,2025-10-26T14:42:27Z
TX0007019,M000144,TERM-29944,WEB,AUTH-792333,0.80,2025-10-26T16:17:19Z
TX0000734,M000170,TERM-97428,APP,AUTH-698379,3.31,2025-10-26T16:37:19Z
TX0004321,M000314,TERM-37988,WEB,AUTH-440406,1.31,2025-10-26T16:48:53Z
TX0004551,M000408,TERM-35004,APP,AUTH-188282,2.95,2025-10-26T17:01:27Z
TX0007896,M000389,TERM-49410,APP,AUTH-181289,1.42,2025-10-26T18:53:56Z
TX0001887,M000185,TERM-72116,APP,AUTH-510435,4.11,2025-10-26T22:14:38Z
TX0002804,M000202,TERM-23462,WEB,AUTH-489327,3.40,2025-10-27T00:10:44Z
TX0003186,M000311,TERM-64723,POS,AUTH-906206,3.53,2025-10-27T00:36:52Z
TX0001697,M000332,TERM-12522,WEB,AUTH-340921,0.83,2025-10-27T01:29:40Z
TX0005437,M000007,TERM-14224,POS,AUTH-955910,3.03,2025-10-27T03:23:23Z
TX0004078,M000290,TERM-15013,APP,AUTH-977999,1.60,2025-10-27T03:48:50Z
TX0003600,M000138,TERM-71682,WEB,AUTH-869224,3.30,2025-10-27T08:04:56Z
TX0006971,M000247,TERM-67439,WEB,AUTH-152381,1.01,2025-10-27T09:58:17Z
TX0003722,M000139,TERM-90821,WEB,AUTH-431190,3.69,2025-10-27T12:34:22Z
TX0003287,M000001,TERM-97404,WEB,AUTH-217649,1.89,2025-10-27T12:41:23Z
TX0003937,M000284,TERM-37636,WEB,AUTH-939926,2.83,2025-10-27T13:09:03Z
TX0001312,M000170,TERM-69736,APP,AUTH-579931,0.81,2025-10-27T14:01:39Z
TX0002507,M000239,TERM-88382,POS,AUTH-494515,2.72,2025-10-27T14:09:04Z
TX0006075,M000432,TERM-23780,POS,AUTH-526243,1.40,2025-10-27T16:02:52Z
TX0005149,M000414,TERM-56135,WEB,AUTH-263970,0.87,2025-10-27T16:46:43Z
TX0007438,M000438,TERM-11343,APP,AUTH-969626,4.08,2025-10-27T17:39:35Z
TX0005525,M000130,TERM-86083,POS,AUTH-250346,2.53,2025-10-27T18:33:07Z
TX0000241,M000023,TERM-25437,WEB,AUTH-666965,1.19,2025-10-27T22:25:57Z
TX0004729,M000445,TERM-48986,APP,AUTH-515549,2.50,2025-10-27T23:07:04Z
TX0000285,M000286,TERM-76204,APP,AUTH-933986,2.19,2025-10-27T23:20:29Z
TX0004823,M000411,TERM-13663,APP,AUTH-916351,3.06,2025-10-27T23:23:02Z
TX0002436,M000244,TERM-31631,APP,AUTH-421858,4.18,2025-10-27T23:54:05Z
TX0006343,M000340,TERM-46170,WEB,AUTH-462224,2.25,2025-10-28T00:01:21Z
TX0001155,M000264,TERM-64737,WEB,AUTH-121084,0.72,2025-10-28T01:22:48Z
TX0003811,M000133,TERM-68136,WEB,AUTH-578811,3.05,2025-10-28T01:25:48Z
TX0004866,M000438,TERM-27182,APP,AUTH-218892,4.10,2025-10-28T02:07:59Z
TX0005304,M000290,TERM-82108,APP,AUTH-299363,1.95,2025-10-28T04:56:41Z
TX0004412,M000364,TERM-13553,WEB,AUTH-536443,2.69,2025-10-28T06:08:25Z
TX0006762,M000055,TERM-19650,WEB,AUTH-643145,0.55,2025-10-28T08:50:49Z
TX0008836,M000413,TERM-45835,WEB,AUTH-535702,3.03,2025-10-28T09:57:09Z
TX0001274,M000291,TERM-17570,WEB,AUTH-886281,3.76,2025-10-28T10:04:14Z
TX0002988,M000120,TERM-63819,APP,AUTH-937813,1.25,2025-10-28T12:01:46Z
TX0001449,M000114,TERM-23752,POS,AUTH-341275,3.41,2025-10-28T12:34:52Z
TX0003670,M000110,TERM-50063,POS,AUTH-752031,2.63,2025-10-28T13:53:54Z
TX0000890,M000263,TERM-48836,APP,AUTH-401877,2.09,2025-10-28T14:44:42Z
TX0000504,M000140,TERM-74682,WEB,AUTH-979459,3.12,2025-10-28T16:01:49Z
TX0004722,M000033,TERM-84585,APP,AUTH-347408,1.98,2025-10-28T16:06:41Z
TX0001233,M000206,TERM-30247,APP,AUTH-288383,2.95,2025-10-28T17:38:56Z
TX0000909,M000093,TERM-76232,APP,AUTH-732512,3.91,2025-10-28T19:03:54Z
TX0002725,M000398,TERM-77516,APP,AUTH-133374,2.26,2025-10-28T19:29:41Z
TX0002482,M000015,TERM-18850,APP,AUTH-318625,0.88,2025-10-28T21:51:04Z
TX0005652,M000071,TERM-71520,WEB,AUTH-843375,2.89,2025-10-28T22:31:31Z
TX0004801,M000209,TERM-52224,APP,AUTH-778964,2.66,2025-10-29T00:08:07Z
TX0003897,M000063,TERM-31194,POS,AUTH-684253,3.52,2025-10-29T00:33:51Z
TX0006285,M000260,TERM-69400,APP,AUTH-424227,0.87,2025-10-29T00:37:58Z
TX0004283,M000084,TERM-64582,APP,AUTH-478507,3.39,2025-10-29T01:30:04Z
TX0006880,M000251,TERM-12928,APP,AUTH-115413,0.85,2025-10-29T01:36:26Z
TX0006719,M000422,TERM-80371,APP,AUTH-553607,2.15,2025-10-29T02:44:14Z
TX0004567,M000174,TERM-43959,POS,AUTH-728870,1.68,2025-10-29T03:06:39Z
TX0008682,M000273,TERM-26265,WEB,AUTH-535046,0.98,2025-10-29T03:49:49Z
TX0000991,M000345,TERM-61812,POS,AUTH-957504,2.39,2025-10-29T05:07:14Z
TX0006239,M000062,TERM-47896,WEB,AUTH-318523,2.21,2025-10-29T05:44:23Z
TX0003209,M000168,TERM-41251,WEB,AUTH-581219,2.39,2025-10-29T05:56:50Z
TX0004604,M000175,TERM-75421,POS,AUTH-389417,4.11,2025-10-29T06:41:54Z
TX0006086,M000405,TERM-53329,APP,AUTH-256339,3.80,2025-10-29T07:04:46Z
TX0007955,M000425,TERM-86432,WEB,AUTH-446322,2.73,2025-10-29T07:07:47Z
TX0003579,M000291,TERM-52256,APP,AUTH-887279,3.08,2025-10-29T07:10:04Z
TX0000367,M000063,TERM-30899,WEB,AUTH-918279,2.12,2025-10-29T08:38:50Z
TX0004080,M000091,TERM-50983,APP,AUTH-691050,1.64,2025-10-29T09:05:51Z
TX0007012,M000074,TERM-66071,WEB,AUTH-322312,0.65,2025-10-29T10:49:52Z
TX0006711,M000149,TERM-70334,APP,AUTH-363053,3.26,2025-10-29T12:42:30Z
TX0007361,M000411,TERM-13265,POS,AUTH-160666,2.04,2025-10-29T13:48:31Z
TX0003028,M000132,TERM-58649,APP,AUTH-754606,1.69,2025-10-29T14:00:57Z
TX0006355,M000118,TERM-86140,POS,AUTH-641635,3.20,2025-10-29T14:35:34Z
TX0002657,M000325,TERM-77260,WEB,AUTH-790407,3.85,2025-10-29T15:55:15Z
TX0004907,M000047,TERM-64366,APP,AUTH-315519,2.68,2025-10-29T16:16:40Z
TX0000421,M000423,TERM-29919,POS,AUTH-742912,2.53,2025-10-29T16:39:01Z
TX0000858,M000450,TERM-94909,APP,AUTH-768954,1.23,2025-10-29T16:53:28Z
TX0002206,M000014,TERM-47869,WEB,AUTH-882433,3.16,2025-10-29T18:02:54Z
TX0002857,M000135,TERM-87151,APP,AUTH-940782,2.16,2025-10-29T19:50:42Z
TX0006044,M000274,TERM-98813,WEB,AUTH-840319,3.41,2025-10-29T20:18:32Z
TX0008758,M000209,TERM-70841,APP,AUTH-824964,1.35,2025-10-29T20:53:04Z
TX0001407,M000352,TERM-98571,APP,AUTH-531313,1.36,2025-10-29T21:32:00Z
TX0000575,M000107,TERM-99851,POS,AUTH-381530,1.85,2025-10-29T23:08:51Z
TX0006123,M000256,TERM-84129,APP,AUTH-816610,0.57,2025-10-29T23:47:25Z
TX0007916,M000362,TERM-33479,POS,AUTH-243640,2.94,2025-10-30T01:22:56Z
TX0004214,M000268,TERM-89032,APP,AUTH-379218,1.40,2025-10-30T02:09:47Z
TX0002845,M000210,TERM-18038,POS,AUTH-218429,1.58,2025-10-30T02:17:44Z
TX0005506,M000094,TERM-27346,WEB,AUTH-805180,0.74,2025-10-30T03:44:57Z
TX0000299,M000024,TERM-58877,APP,AUTH-123663,2.58,2025-10-30T06:09:05Z
TX0005061,M000116,TERM-38967,POS,AUTH-835520,0.68,2025-10-30T06:10:16Z
TX0000405,M000096,TERM-33657,WEB,AUTH-795307,1.26,2025-10-30T07:08:32Z
TX0005095,M000348,TERM-59171,APP,AUTH-504344,3.74,2025-10-30T08:22:04Z
TX0001092,M000253,TERM-89593,WEB,AUTH-379505,3.91,2025-10-30T08:47:29Z
TX0004746,M000425,TERM-78243,WEB,AUTH-651695,2.64,2025-10-30T08:56:26Z
TX0007484,M000185,TERM-80312,POS,AUTH-603408,0.72,2025-10-30T09:10:02Z
TX0004961,M000401,TERM-70268,POS,AUTH-446897,2.98,2025-10-30T09:23:04Z
TX0002370,M000248,TERM-32358,WEB,AUTH-664756,1.21,2025-10-30T10:00:15Z
TX0003945,M000435,TERM-31628,APP,AUTH-119849,0.76,2025-10-30T10:55:05Z
TX0002239,M000086,TERM-29286,WEB,AUTH-933495,2.65,2025-10-30T10:57:52Z
TX0000829,M000185,TERM-25568,WEB,AUTH-222459,0.74,2025-10-30T11:18:47Z
TX0006679,M000103,TERM-89891,APP,AUTH-662871,2.05,2025-10-30T12:17:43Z
TX0006847,M000336,TERM-98301,WEB,AUTH-317522,1.28,2025-10-30T12:29:24Z
TX0005464,M000188,TERM-26720,WEB,AUTH-292317,2.25,2025-10-30T13:57:29Z
TX0002882,M000393,TERM-55217,WEB,AUTH-626885,2.39,2025-10-30T14:13:05Z
TX0004660,M000189,TERM-43596,WEB,AUTH-813335,0.70,2025-10-30T15:08:50Z
TX0004072,M000352,TERM-91692,WEB,AUTH-570724,2.10,2025-10-30T15:51:08Z
TX0005840,M000190,TERM-96472,POS,AUTH-344902,3.17,2025-10-30T16:04:16Z
TX0006665,M000168,TERM-33430,WEB,AUTH-788161,2.21,2025-10-30T16:34:29Z
TX0004360,M000123,TERM-95646,APP,AUTH-778494,0.73,2025-10-30T18:13:08Z
TX0006516,M000373,TERM-14209,APP,AUTH-173184,2.20,2025-10-30T20:44:44Z
TX0004815,M000135,TERM-41141,POS,AUTH-760402,1.92,2025-10-30T21:20:27Z
TX0001759,M000229,TERM-76088,POS,AUTH-987447,0.64,2025-10-30T21:23:54Z
TX0004147,M000229,TERM-11088,APP,AUTH-798142,0.53,2025-10-30T21:56:52Z
TX0006617,M000335,TERM-68130,APP,AUTH-799171,4.06,2025-10-30T22:00:00Z
TX0000420,M000192,TERM-39235,WEB,AUTH-681190,1.32,2025-10-30T22:38:45Z
TX0008307,M000448,TERM-54856,APP,AUTH-812940,0.95,2025-10-30T22:46:43Z
TX0003707,M000056,TERM-71318,POS,AUTH-311982,2.80,2025-10-30T23:23:33Z
TX0006404,M000027,TERM-46213,POS,AUTH-516162,2.41,2025-10-30T23:38:04Z
TX0008194,M000004,TERM-59503,POS,AUTH-706141,0.98,2025-10-31T00:39:00Z
TX0005458,M000331,TERM-41849,WEB,AUTH-217889,0.91,2025-10-31T02:49:53Z
TX0001135,M000216,TERM-31159,WEB,AUTH-445422,1.26,2025-10-31T05:58:43Z
TX0001215,M000443,TERM-36059,APP,AUTH-269152,0.69,2025-10-31T05:59:46Z
TX0002120,M000260,TERM-47240,POS,AUTH-554605,1.73,2025-10-31T06:25:20Z
TX0007818,M000377,TERM-88619,WEB,AUTH-434567,1.15,2025-10-31T11:15:27Z
TX0001127,M000004,TERM-21220,WEB,AUTH-548018,2.39,2025-10-31T13:40:00Z
TX0002532,M000116,TERM-57201,WEB,AUTH-657646,3.24,2025-10-31T14:24:54Z
TX0008119,M000353,TERM-18582,APP,AUTH-772231,1.69,2025-10-31T14:52:45Z
TX0003980,M000214,TERM-53379,APP,AUTH-218752,0.72,2025-10-31T15:44:28Z
TX0002623,M000003,TERM-73448,WEB,AUTH-283068,3.32,2025-10-31T16:03:13Z
TX0005524,M000064,TERM-68188,APP,AUTH-713306,1.94,2025-10-31T18:22:45Z
TX0007005,M000326,TERM-82358,POS,AUTH-424274,2.56,2025-10-31T18:39:50Z
TX0004285,M000360,TERM-60420,APP,AUTH-510094,4.15,2025-10-31T21:16:02Z
TX0003399,M000228,TERM-39730,POS,AUTH-990444,0.60,2025-10-31T21:20:20Z
TX0001354,M000093,TERM-36809,WEB,AUTH-350876,3.48,2025-10-31T23:51:04Z
TX0000088,M000276,TERM-59442,APP,AUTH-732547,1.95,2025-11-01T00:43:40Z
TX0002744,M000304,TERM-78537,APP,AUTH-938912,4.04,2025-11-01T00:48:57Z
TX0000221,M000057,TERM-98538,WEB,AUTH-468342,3.24,2025-11-01T02:36:36Z
TX0006932,M000148,TERM-82318,APP,AUTH-768212,3.44,2025-11-01T02:47:18Z
TX0007755,M000199,TERM-27699,APP,AUTH-491556,2.98,2025-11-01T03:11:55Z
TX0003223,M000019,TERM-50908,WEB,AUTH-230184,3.60,2025-11-01T03:43:13Z
TX0007157,M000238,TERM-23437,POS,AUTH-896272,2.00,2025-11-01T03:47:18Z
TX0001674,M000113,TERM-24080,POS,AUTH-909710,3.40,2025-11-01T03:47:55Z
TX0001733,M000374,TERM-90873,APP,AUTH-590988,2.57,2025-11-01T04:01:52Z
TX0000698,M000260,TERM-50170,APP,AUTH-581259,2.63,2025-11-01T04:19:15Z
TX0003365,M000407,TERM-32189,POS,AUTH-187586,3.63,2025-11-01T05:34:16Z
TX0005788,M000103,TERM-28617,POS,AUTH-126385,1.14,2025-11-01T06:26:37Z
TX0006841,M000432,TERM-60419,APP,AUTH-956883,1.14,2025-11-01T06:45:34Z
TX0005111,M000183,TERM-89731,WEB,AUTH-418420,1.40,2025-11-01T06:51:02Z
TX0001151,M000126,TERM-37919,POS,AUTH-918084,2.83,2025-11-01T07:36:10Z
TX0002006,M000024,TERM-51528,APP,AUTH-956960,2.93,2025-11-01T07:57:17Z
TX0007538,M000079,TERM-33030,WEB,AUTH-457860,3.90,2025-11-01T08:25:11Z
TX0006809,M000071,TERM-52031,APP,AUTH-448364,3.22,2025-11-01T09:18:22Z
TX0007090,M000366,TERM-57657,APP,AUTH-582805,0.50,2025-11-01T10:54:31Z
TX0006101,M000145,TERM-28445,APP,AUTH-743305,1.90,2025-11-01T11:37:22Z
TX0003178,M000241,TERM-87624,APP,AUTH-765727,2.65,2025-11-01T12:09:38Z
TX0008718,M000291,TERM-95770,APP,AUTH-238390,0.67,2025-11-01T14:41:37Z
TX0006750,M000232,TERM-67219,WEB,AUTH-866919,1.04,2025-11-01T15:43:35Z
TX0003573,M000153,TERM-63423,WEB,AUTH-408172,1.50,2025-11-01T17:11:00Z
TX0008082,M000218,TERM-76189,POS,AUTH-492487,4.10,2025-11-01T17:21:07Z
TX0000647,M000146,TERM-75469,APP,AUTH-703971,3.27,2025-11-01T17:55:58Z
TX0002492,M000120,TERM-46256,APP,AUTH-163128,2.59,2025-11-01T19:23:46Z
TX0007868,M000021,TERM-38001,APP,AUTH-700842,2.87,2025-11-01T20:16:24Z
TX0007172,M000029,TERM-34403,APP,AUTH-691694,0.55,2025-11-01T20:24:36Z
TX0001298,M000162,TERM-20092,APP,AUTH-365364,2.08,2025-11-01T20:31:41Z
TX0007597,M000223,TERM-83356,WEB,AUTH-544647,1.18,2025-11-01T22:09:15Z
TX0004025,M000014,TERM-11101,POS,AUTH-212198,3.77,2025-11-01T22:29:19Z
TX0004854,M000052,TERM-78482,APP,AUTH-785197,2.91,2025-11-01T23:16:33Z
TX0005471,M000388,TERM-67181,APP,AUTH-306987,1.69,2025-11-02T02:35:51Z
TX0000006,M000076,TERM-49692,POS,AUTH-956163,0.98,2025-11-02T03:35:30Z
TX0003584,M000302,TERM-93916,APP,AUTH-110092,2.62,2025-11-02T04:13:51Z
TX0004541,M000091,TERM-55654,WEB,AUTH-962154,2.00,2025-11-02T05:19:21Z
TX0007281,M000277,TERM-73686,APP,AUTH-967307,4.16,2025-11-02T06:21:35Z
TX0000109,M000122,TERM-49912,WEB,AUTH-787430,3.13,2025-11-02T06:28:42Z
TX0002071,M000213,TERM-14692,WEB,AUTH-733047,1.23,2025-11-02T07:43:20Z
TX0001631,M000020,TERM-93288,APP,AUTH-905079,1.20,2025-11-02T08:15:09Z
TX0000970,M000085,TERM-81775,WEB,AUTH-325472,2.54,2025-11-02T08:50:49Z
TX0004977,M000422,TERM-95451,APP,AUTH-808754,1.64,2025-11-02T09:08:39Z
TX0000963,M000048,TERM-16108,WEB,AUTH-638138,2.00,2025-11-02T09:10:49Z
TX0001018,M000267,TERM-57091,WEB,AUTH-709007,1.18,2025-11-02T10:38:25Z
TX0006311,M000266,TERM-44254,APP,AUTH-991643,3.46,2025-11-02T12:01:12Z
TX0001558,M000156,TERM-76208,APP,AUTH-733696,1.09,2025-11-02T14:57:28Z
TX0008445,M000107,TERM-99552,APP,AUTH-247617,1.81,2025-11-02T15:31:11Z
TX0002375,M000384,TERM-71248,WEB,AUTH-408236,2.87,2025-11-02T15:32:49Z
TX0002822,M000176,TERM-53372,WEB,AUTH-397310,3.94,2025-11-02T20:56:45Z
TX0005876,M000319,TERM-36161,WEB,AUTH-924442,3.97,2025-11-03T02:20:33Z
TX0006953,M000087,TERM-84976,WEB,AUTH-689507,1.71,2025-11-03T07:31:34Z
TX0007043,M000317,TERM-49275,WEB,AUTH-358362,0.92,2025-11-03T09:58:19Z
TX0000839,M000225,TERM-59261,APP,AUTH-168316,2.89,2025-11-03T11:25:15Z
TX0001968,M000303,TERM-15883,POS,AUTH-780585,4.05,2025-11-03T13:37:33Z
TX0008137,M000164,TERM-68246,WEB,AUTH-387975,2.32,2025-11-03T15:44:30Z
TX0004813,M000286,TERM-14758,APP,AUTH-394836,1.66,2025-11-03T16:40:42Z
TX0003189,M000074,TERM-43548,APP,AUTH-372814,2.93,2025-11-03T18:02:07Z
TX0004272,M000409,TERM-39197,WEB,AUTH-619044,3.91,2025-11-03T18:05:59Z
TX0006573,M000282,TERM-92711,APP,AUTH-115271,1.32,2025-11-03T18:12:21Z
TX0000582,M000058,TERM-67895,WEB,AUTH-257624,1.95,2025-11-03T18:16:40Z
TX0000133,M000404,TERM-47914,WEB,AUTH-194839,0.98,2025-11-03T18:30:37Z
TX0007071,M000383,TERM-55560,POS,AUTH-795280,1.53,2025-11-03T21:14:26Z
TX0006658,M000332,TERM-14597,APP,AUTH-297593,3.03,2025-11-04T00:11:07Z
TX0006909,M000208,TERM-30915,APP,AUTH-274677,1.21,2025-11-04T01:03:09Z
TX0002163,M000157,TERM-88012,WEB,AUTH-512820,2.26,2025-11-04T01:25:38Z
TX0004445,M000028,TERM-73459,WEB,AUTH-981890,2.51,2025-11-04T01:30:24Z
TX0002393,M000111,TERM-94315,APP,AUTH-985785,2.15,2025-11-04T03:07:19Z
TX0002316,M000208,TERM-97299,POS,AUTH-406577,3.70,2025-11-04T07:20:37Z
TX0002306,M000371,TERM-36168,APP,AUTH-518365,3.73,2025-11-04T08:26:12Z
TX0005330,M000217,TERM-99226,APP,AUTH-591530,3.04,2025-11-04T08:56:00Z
TX0001347,M000132,TERM-41667,WEB,AUTH-811571,0.51,2025-11-04T09:06:05Z
TX0000660,M000137,TERM-37379,APP,AUTH-972209,3.82,2025-11-04T09:51:26Z
TX0000622,M000358,TERM-97804,WEB,AUTH-199816,2.69,2025-11-04T10:40:06Z
TX0007973,M000194,TERM-91465,WEB,AUTH-584161,2.37,2025-11-04T11:44:36Z
TX0008959,M000083,TERM-66700,APP,AUTH-340761,4.18,2025-11-04T12:20:17Z
TX0006937,M000102,TERM-87182,APP,AUTH-681826,1.93,2025-11-04T14:21:46Z
TX0005753,M000422,TERM-29955,APP,AUTH-350182,2.94,2025-11-04T15:41:58Z
TX0000227,M000358,TERM-75790,POS,AUTH-452581,2.94,2025-11-04T17:09:37Z
