cliente_id,tx_id,rol,factor_autenticacion,autenticacion_ok,ip_origen,confianza_sesion
C000545,TX0006956,ORDENANTE,SMS_OTP,true,192.249.13.40,0.58
C001059,TX0008804,ORDENANTE,TOKEN_APP,true,103.132.202.59,0.48
C001186,TX0003370,ORDENANTE,TOKEN_APP,true,158.147.97.128,0.67
C000825,TX0000451,ORDENANTE,BIOMETRIA,true,69.223.46.112,0.51
C000716,TX0001448,ORDENANTE,BIOMETRIA,true,151.150.120.104,0.70
C000364,TX0004756,ORDENANTE,BIOMETRIA,true,77.5.83.27,0.63
C000983,TX0007824,ORDENANTE,BIOMETRIA,true,46.202.47.48,0.51
C000983,TX0006314,ORDENANTE,SMS_OTP,true,46.202.47.48,0.34
C000948,TX0006329,ORDENANTE,SMS_OTP,true,26.238.149.197,0.44
C000166,TX0005606,ORDENANTE,PASSWORD,true,59.132.52.85,0.76
C000151,TX0003588,ORDENANTE,SMS_OTP,true,24.4.88.110,0.74
C000144,TX0002497,ORDENANTE,TOKEN_APP,true,170.208.7.145,0.58
C000730,TX0000551,ORDENANTE,TOKEN_APP,true,151.246.229.81,0.78
C001051,TX0007682,ORDENANTE,BIOMETRIA,true,28.197.24.37,0.39
C000963,TX0005026,ORDENANTE,SIN_FACTOR,true,123.203.226.20,0.37
C000291,TX0007252,ORDENANTE,TOKEN_APP,true,63.109.102.10,0.31
C000159,TX0003631,ORDENANTE,SIN_FACTOR,true,42.123.95.195,0.66
C000355,TX0008772,ORDENANTE,BIOMETRIA,true,165.54.34.158,0.60
C000681,TX0006947,ORDENANTE,PASSWORD,true,165.63.117.109,0.57
C000313,TX0001159,ORDENANTE,SMS_OTP,true,177.71.22.85,0.61
C001076,TX0005745,ORDENANTE,SMS_OTP,true,143.155.236.80,0.60
C000128,TX0002374,ORDENANTE,TOKEN_APP,true,133.151.85.121,0.54
C000493,TX0003179,ORDENANTE,SMS_OTP,true,148.15.39.193,0.67
C000452,TX0003614,ORDENANTE,TOKEN_APP,true,126.253.15.42,0.21
C000420,TX0005285,ORDENANTE,TOKEN_APP,true,114.105.188.245,0.27
C001023,TX0005203,ORDENANTE,SMS_OTP,true,114.177.208.234,0.41
C000605,TX0006089,ORDENANTE,TOKEN_APP,true,24.149.250.216,0.19
C000628,TX0008158,ORDENANTE,TOKEN_APP,true,118.123.23.115,0.59
C001173,TX0001026,ORDENANTE,SMS_OTP,true,80.240.110.192,0.18
C000455,TX0008713,ORDENANTE,PASSWORD,true,152.71.195.24,0.40
C000678,TX0003246,ORDENANTE,SIN_FACTOR,true,134.55.161.95,0.51
C000072,TX0002993,ORDENANTE,BIOMETRIA,true,67.84.43.244,0.59
C000685,TX0005561,ORDENANTE,TOKEN_APP,true,99.79.69.59,0.72
C000479,TX0003823,ORDENANTE,SMS_OTP,true,56.101.228.52,0.48
C000894,TX0007395,ORDENANTE,SIN_FACTOR,true,191.96.86.246,0.49
C000545,TX0002938,ORDENANTE,TOKEN_APP,true,192.249.13.40,0.51
C000607,TX0008595,ORDENANTE,SMS_OTP,true,26.241.82.199,0.27
C000382,TX0005968,ORDENANTE,PASSWORD,true,55.126.24.177,0.63
C001137,TX0002407,ORDENANTE,SMS_OTP,true,62.205.244.185,0.53
C000652,TX0001493,ORDENANTE,SMS_OTP,true,53.32.120.243,0.45
C000285,TX0000841,ORDENANTE,SMS_OTP,true,83.28.210.229,0.42
C000458,TX0008209,ORDENANTE,SMS_OTP,true,143.123.26.249,0.39
C000601,TX0005267,ORDENANTE,BIOMETRIA,true,175.49.27.130,0.38
C001011,TX0006332,ORDENANTE,TOKEN_APP,true,86.148.146.202,0.22
C000206,TX0005067,ORDENANTE,BIOMETRIA,true,103.233.51.67,0.41
C001012,TX0000294,ORDENANTE,SMS_OTP,true,114.105.188.245,0.51
C000748,TX0007126,ORDENANTE,BIOMETRIA,true,199.120.241.105,0.50
C000927,TX0001420,ORDENANTE,BIOMETRIA,true,129.145.168.98,0.83
C001115,TX0005636,ORDENANTE,TOKEN_APP,true,199.16.243.214,0.40
C000762,TX0005641,ORDENANTE,SMS_OTP,true,159.229.83.223,0.63
C000064,TX0002127,ORDENANTE,BIOMETRIA,true,199.43.180.52,0.55
C001033,TX0008057,ORDENANTE,TOKEN_APP,true,153.204.222.147,0.47
C000453,TX0002440,ORDENANTE,SMS_OTP,true,198.61.76.121,0.65
C000384,TX0003728,ORDENANTE,SMS_OTP,true,162.24.40.27,0.30
C000074,TX0001575,ORDENANTE,PASSWORD,true,62.122.137.207,0.59
C000025,TX0006541,ORDENANTE,BIOMETRIA,true,64.42.102.143,0.64
C000976,TX0003344,ORDENANTE,BIOMETRIA,true,66.205.178.121,0.56
C000762,TX0003831,ORDENANTE,BIOMETRIA,true,159.229.83.223,0.69
C001088,TX0005112,ORDENANTE,PASSWORD,true,66.205.178.121,0.54
C000088,TX0006767,ORDENANTE,TOKEN_APP,true,86.148.159.245,0.70
C001164,TX0008604,ORDENANTE,TOKEN_APP,true,160.34.253.167,0.51
C000813,TX0005232,ORDENANTE,SMS_OTP,true,196.229.10.67,0.32
C000544,TX0005315,ORDENANTE,SIN_FACTOR,true,171.123.99.108,0.37
C000291,TX0004937,ORDENANTE,SIN_FACTOR,true,142.96.96.19,0.42
C001007,TX0002234,ORDENANTE,PASSWORD,true,169.70.46.195,0.51
C000145,TX0001216,ORDENANTE,SIN_FACTOR,true,160.35.207.47,0.70
C000682,TX0007189,ORDENANTE,SMS_OTP,true,148.7.180.170,0.41
C000617,TX0002533,ORDENANTE,TOKEN_APP,true,160.78.126.228,0.68
C000272,TX0008327,ORDENANTE,PASSWORD,true,183.73.37.161,0.45
C000809,TX0007750,ORDENANTE,SIN_FACTOR,true,48.243.127.56,0.42
C000290,TX0008928,ORDENANTE,BIOMETRIA,true,24.170.167.41,0.73
C000771,TX0002193,ORDENANTE,BIOMETRIA,true,71.213.204.176,0.56
C000631,TX0005241,ORDENANTE,SMS_OTP,true,111.135.242.232,0.51
C001062,TX0000234,ORDENANTE,TOKEN_APP,true,56.86.101.217,0.45
C000426,TX0002910,ORDENANTE,SIN_FACTOR,true,169.4.21.249,0.71
C000412,TX0005733,ORDENANTE,SMS_OTP,true,117.238.29.143,0.36
C001000,TX0005650,ORDENANTE,SMS_OTP,true,72.98.86.162,0.79
C000353,TX0002002,ORDENANTE,PASSWORD,true,100.221.121.120,0.60
C000037,TX0006815,ORDENANTE,SMS_OTP,true,181.176.101.25,0.56
C000023,TX0004655,ORDENANTE,TOKEN_APP,true,35.201.202.234,0.56
C000544,TX0007478,ORDENANTE,TOKEN_APP,true,171.123.99.108,0.23
C000236,TX0000431,ORDENANTE,PASSWORD,true,152.195.207.110,0.49
C000235,TX0006696,ORDENANTE,SIN_FACTOR,true,157.88.13.36,0.49
C000124,TX0007408,ORDENANTE,PASSWORD,true,186.197.222.59,0.28
C000884,TX0006557,ORDENANTE,BIOMETRIA,true,39.36.94.80,0.61
C001107,TX0003566,ORDENANTE,SMS_OTP,true,74.7.232.20,0.76
C000910,TX0001788,ORDENANTE,SMS_OTP,true,78.165.68.161,0.38
C000052,TX0002663,ORDENANTE,BIOMETRIA,true,200.235.60.174,0.21
C000208,TX0001205,ORDENANTE,BIOMETRIA,true,55.170.42.237,0.17
C000733,TX0005509,ORDENANTE,SMS_OTP,true,152.140.171.198,0.63
C000432,TX0001183,ORDENANTE,BIOMETRIA,true,190.72.23.242,0.61
C000063,TX0006007,ORDENANTE,SMS_OTP,true,57.198.208.53,0.34
C000617,TX0003719,ORDENANTE,BIOMETRIA,true,160.78.126.228,0.28
C000008,TX0007734,ORDENANTE,TOKEN_APP,true,149.184.162.20,0.53
C000420,TX0005306,ORDENANTE,PASSWORD,true,114.105.188.245,0.60
C000357,TX0001605,ORDENANTE,PASSWORD,true,149.43.53.180,0.23
C000657,TX0006322,ORDENANTE,PASSWORD,true,23.167.243.18,0.69
C001035,TX0008537,ORDENANTE,SMS_OTP,true,98.51.54.83,0.35
C001072,TX0001019,ORDENANTE,PASSWORD,true,101.192.70.68,0.69
C001162,TX0004013,ORDENANTE,PASSWORD,true,42.22.101.19,0.67
C000293,TX0004650,ORDENANTE,PASSWORD,true,115.134.198.43,0.48
C001155,TX0002152,ORDENANTE,TOKEN_APP,true,142.96.96.19,0.65
C000558,TX0008623,ORDENANTE,SMS_OTP,true,195.216.190.136,0.33
C000709,TX0000939,ORDENANTE,TOKEN_APP,true,194.6.120.2,0.48
C000146,TX0007909,ORDENANTE,SMS_OTP,true,58.51.126.171,0.44
C000580,TX0000768,ORDENANTE,TOKEN_APP,true,45.162.206.37,0.74
C000755,TX0002825,ORDENANTE,SMS_OTP,true,108.225.104.109,0.53
C000513,TX0003568,ORDENANTE,BIOMETRIA,true,102.207.220.11,0.45
C000877,TX0005580,ORDENANTE,SMS_OTP,true,102.16.16.165,0.60
C000603,TX0004374,ORDENANTE,PASSWORD,true,123.185.128.158,0.45
C000953,TX0006289,ORDENANTE,SMS_OTP,true,108.149.1.37,0.76
C000716,TX0003926,ORDENANTE,SIN_FACTOR,true,151.150.120.104,0.60
C000289,TX0008451,ORDENANTE,SMS_OTP,true,183.207.122.170,0.42
C000341,TX0002806,ORDENANTE,TOKEN_APP,true,169.70.46.195,0.83
C000449,TX0004465,ORDENANTE,TOKEN_APP,true,77.109.21.188,0.70
C000663,TX0005619,ORDENANTE,BIOMETRIA,true,26.238.149.197,0.54
C000826,TX0002737,ORDENANTE,BIOMETRIA,true,27.84.137.49,0.48
C001068,TX0003895,ORDENANTE,TOKEN_APP,true,176.37.108.172,0.48
C000807,TX0007019,ORDENANTE,BIOMETRIA,true,31.198.49.254,0.14
C000620,TX0000734,ORDENANTE,SMS_OTP,true,143.196.45.147,0.49
C000155,TX0000759,ORDENANTE,BIOMETRIA,true,74.188.211.29,0.62
C000649,TX0004321,ORDENANTE,SMS_OTP,true,80.243.195.143,0.57
C000126,TX0004551,ORDENANTE,PASSWORD,true,46.216.219.184,0.67
C001104,TX0003321,ORDENANTE,BIOMETRIA,true,27.140.149.171,0.39
C001035,TX0007896,ORDENANTE,PASSWORD,true,98.51.54.83,0.45
C000514,TX0002083,ORDENANTE,TOKEN_APP,true,200.218.221.150,0.63
C000514,TX0006184,ORDENANTE,BIOMETRIA,true,200.218.221.150,0.74
C000625,TX0001887,ORDENANTE,TOKEN_APP,true,81.223.239.50,0.87
C000972,TX0001381,ORDENANTE,PASSWORD,true,104.8.151.111,0.73
C000821,TX0002804,ORDENANTE,TOKEN_APP,true,72.179.11.123,0.36
C001195,TX0003186,ORDENANTE,BIOMETRIA,true,97.43.227.77,0.38
C000292,TX0007665,ORDENANTE,SIN_FACTOR,true,170.190.1.184,0.72
C000416,TX0001697,ORDENANTE,TOKEN_APP,true,115.134.198.43,0.46
C001117,TX0004803,ORDENANTE,BIOMETRIA,true,149.175.233.192,0.30
C000708,TX0000888,ORDENANTE,SIN_FACTOR,true,191.84.179.104,0.45
C000166,TX0004890,ORDENANTE,SMS_OTP,true,59.132.52.85,0.55
C000506,TX0005361,ORDENANTE,BIOMETRIA,true,104.8.151.111,0.62
C000602,TX0003909,ORDENANTE,TOKEN_APP,true,152.78.118.78,0.57
C001104,TX0005437,ORDENANTE,BIOMETRIA,true,27.140.149.171,0.26
C000076,TX0004078,ORDENANTE,PASSWORD,true,176.149.108.31,0.21
C000456,TX0008805,ORDENANTE,BIOMETRIA,true,135.7.122.217,0.81
C000927,TX0000327,ORDENANTE,TOKEN_APP,true,129.145.168.98,0.65
C000165,TX0003600,ORDENANTE,TOKEN_APP,true,114.82.78.73,0.44
C001165,TX0002157,ORDENANTE,BIOMETRIA,true,119.206.55.15,0.53
C000448,TX0002235,ORDENANTE,BIOMETRIA,true,103.192.247.161,0.44
C000712,TX0006971,ORDENANTE,PASSWORD,true,31.185.20.250,0.42
C000718,TX0007718,ORDENANTE,BIOMETRIA,true,100.224.202.133,0.70
C001059,TX0003165,ORDENANTE,SMS_OTP,true,103.132.202.59,0.53
C000925,TX0005463,ORDENANTE,PASSWORD,true,152.50.152.197,0.53
C000054,TX0001935,ORDENANTE,BIOMETRIA,true,106.226.202.53,0.61
C000816,TX0003722,ORDENANTE,SMS_OTP,true,105.204.13.8,0.52
C000584,TX0003287,ORDENANTE,PASSWORD,true,166.104.54.41,0.65
C000502,TX0003937,ORDENANTE,TOKEN_APP,true,165.205.228.51,0.73
C000499,TX0001312,ORDENANTE,SMS_OTP,true,144.175.240.155,0.59
C000184,TX0002507,ORDENANTE,SMS_OTP,true,46.106.196.167,0.42
C001081,TX0001256,ORDENANTE,TOKEN_APP,true,106.27.181.105,0.52
C000461,TX0001685,ORDENANTE,TOKEN_APP,true,23.115.37.23,0.46
C000003,TX0006801,ORDENANTE,PASSWORD,true,66.205.178.121,0.66
C000198,TX0001299,ORDENANTE,BIOMETRIA,true,96.59.219.3,0.45
C000941,TX0006075,ORDENANTE,SMS_OTP,true,146.128.215.53,0.46
C000956,TX0005149,ORDENANTE,PASSWORD,true,102.207.220.11,0.83
C000498,TX0007438,ORDENANTE,TOKEN_APP,true,105.29.197.236,0.53
C000052,TX0002307,ORDENANTE,TOKEN_APP,true,200.235.60.174,0.49
C000359,TX0005525,ORDENANTE,TOKEN_APP,true,187.179.39.196,0.53
C000165,TX0000394,ORDENANTE,PASSWORD,true,114.82.78.73,0.65
C000150,TX0002114,ORDENANTE,PASSWORD,true,102.182.162.8,0.49
C000928,TX0006060,ORDENANTE,SMS_OTP,true,112.124.74.238,0.85
C000831,TX0008242,ORDENANTE,TOKEN_APP,true,23.210.198.65,0.29
C000465,TX0000241,ORDENANTE,PASSWORD,true,184.158.202.100,0.69
C001120,TX0004729,ORDENANTE,SMS_OTP,true,160.34.253.167,0.62
C000070,TX0000285,ORDENANTE,PASSWORD,true,179.138.214.207,0.64
C000587,TX0004823,ORDENANTE,PASSWORD,true,198.184.245.18,0.25
C000950,TX0002436,ORDENANTE,PASSWORD,true,165.50.12.244,0.47
C000969,TX0006343,ORDENANTE,SIN_FACTOR,true,64.66.118.114,0.44
C000464,TX0003622,ORDENANTE,SMS_OTP,true,101.189.61.46,0.58
C000146,TX0000913,ORDENANTE,TOKEN_APP,true,58.51.126.171,0.60
C000820,TX0001900,ORDENANTE,PASSWORD,true,44.144.48.213,0.60
C000710,TX0001155,ORDENANTE,PASSWORD,true,45.102.4.232,0.59
C000129,TX0003811,ORDENANTE,SMS_OTP,true,61.223.211.176,0.65
C001004,TX0004866,ORDENANTE,BIOMETRIA,true,150.106.78.186,0.27
C000223,TX0008017,ORDENANTE,TOKEN_APP,true,148.210.6.3,0.28
C000528,TX0007935,ORDENANTE,SIN_FACTOR,true,137.130.222.229,0.41
C000828,TX0008108,ORDENANTE,SIN_FACTOR,true,151.150.120.104,0.46
C000837,TX0005304,ORDENANTE,PASSWORD,true,71.213.204.176,0.38
C000664,TX0002070,ORDENANTE,PASSWORD,true,159.92.117.84,0.62
C000857,TX0001574,ORDENANTE,TOKEN_APP,true,132.63.191.223,0.42
C000963,TX0007222,ORDENANTE,SMS_OTP,true,123.203.226.20,0.51
C000133,TX0004412,ORDENANTE,BIOMETRIA,true,128.249.74.44,0.29
C000774,TX0006021,ORDENANTE,SMS_OTP,true,43.11.94.150,0.50
C000812,TX0008350,ORDENANTE,BIOMETRIA,true,182.218.113.153,0.47
C000165,TX0008967,ORDENANTE,SIN_FACTOR,true,114.82.78.73,0.60
C000437,TX0007561,ORDENANTE,SMS_OTP,true,57.178.11.248,0.37
C001040,TX0005765,ORDENANTE,SMS_OTP,true,168.7.134.193,0.61
C000492,TX0006762,ORDENANTE,TOKEN_APP,true,171.65.200.188,0.46
C000692,TX0000120,ORDENANTE,TOKEN_APP,true,95.31.163.151,0.49
C000894,TX0004689,ORDENANTE,BIOMETRIA,true,191.96.86.246,0.68
C000481,TX0008836,ORDENANTE,PASSWORD,true,184.139.158.180,0.37
C000720,TX0001274,ORDENANTE,TOKEN_APP,true,62.172.126.45,0.41
C000105,TX0003098,ORDENANTE,BIOMETRIA,true,29.45.214.73,0.34
C000454,TX0001443,ORDENANTE,SMS_OTP,true,163.197.202.36,0.54
C000588,TX0002988,ORDENANTE,PASSWORD,true,142.170.118.153,0.18
C000708,TX0001449,ORDENANTE,BIOMETRIA,true,191.84.179.104,0.51
C000299,TX0006669,ORDENANTE,TOKEN_APP,true,170.241.233.177,0.51
C000135,TX0001920,ORDENANTE,BIOMETRIA,true,51.11.143.2,0.43
C000972,TX0003670,ORDENANTE,SMS_OTP,true,104.8.151.111,0.81
C001029,TX0000279,ORDENANTE,SMS_OTP,true,170.190.1.184,0.39
C000878,TX0000890,ORDENANTE,SIN_FACTOR,true,171.132.58.177,0.35
C000853,TX0000504,ORDENANTE,SMS_OTP,true,25.104.41.233,0.60
C000980,TX0004722,ORDENANTE,SMS_OTP,true,44.144.48.213,0.59
C000781,TX0008185,ORDENANTE,PASSWORD,true,198.29.40.59,0.63
C000221,TX0001233,ORDENANTE,SMS_OTP,true,153.123.166.38,0.57
C001195,TX0004178,ORDENANTE,BIOMETRIA,true,97.43.227.77,0.62
C000801,TX0007797,ORDENANTE,TOKEN_APP,true,79.225.93.160,0.65
C000462,TX0001037,ORDENANTE,SIN_FACTOR,true,142.14.246.14,0.23
C001017,TX0000909,ORDENANTE,SMS_OTP,true,147.68.169.22,0.69
C000734,TX0002725,ORDENANTE,PASSWORD,true,25.9.90.60,0.15
C000290,TX0004502,ORDENANTE,SMS_OTP,true,24.170.167.41,0.44
C000896,TX0002681,ORDENANTE,BIOMETRIA,true,65.24.48.44,0.55
C000984,TX0002482,ORDENANTE,PASSWORD,true,128.135.63.66,0.60
C000256,TX0005652,ORDENANTE,TOKEN_APP,true,101.156.209.181,0.57
C000184,TX0008150,ORDENANTE,SMS_OTP,true,46.106.196.167,0.50
C000991,TX0003627,ORDENANTE,SMS_OTP,true,40.218.74.65,0.41
C000853,TX0004801,ORDENANTE,BIOMETRIA,true,25.104.41.233,0.54
C000552,TX0008395,ORDENANTE,PASSWORD,true,37.101.240.37,0.53
C000435,TX0003897,ORDENANTE,TOKEN_APP,true,55.170.42.237,0.39
C000284,TX0006285,ORDENANTE,BIOMETRIA,true,75.206.159.7,0.64
C000864,TX0001940,ORDENANTE,PASSWORD,true,67.8.153.239,0.36
C000716,TX0004283,ORDENANTE,TOKEN_APP,true,45.237.4.135,0.52
C000124,TX0006880,ORDENANTE,BIOMETRIA,true,97.43.227.77,0.43
C000305,TX0000537,ORDENANTE,TOKEN_APP,true,62.172.126.45,0.55
C000097,TX0006719,ORDENANTE,BIOMETRIA,true,26.241.82.199,0.45
C000581,TX0005713,ORDENANTE,BIOMETRIA,true,89.204.37.39,0.45
C001055,TX0005495,ORDENANTE,BIOMETRIA,true,192.80.122.99,0.58
C001170,TX0004567,ORDENANTE,TOKEN_APP,true,196.79.242.178,0.50
C000860,TX0008992,ORDENANTE,BIOMETRIA,true,92.81.243.242,0.58
C000121,TX0003553,ORDENANTE,PASSWORD,true,44.166.8.61,0.51
C000834,TX0007342,ORDENANTE,TOKEN_APP,true,131.58.97.254,0.57
C001175,TX0008682,ORDENANTE,PASSWORD,true,55.170.42.237,0.18
C001003,TX0004146,ORDENANTE,BIOMETRIA,true,28.1.115.132,0.71
C000318,TX0000991,ORDENANTE,SMS_OTP,true,95.168.247.231,0.61
C000999,TX0006239,ORDENANTE,TOKEN_APP,true,48.232.199.171,0.30
C000910,TX0003209,ORDENANTE,SMS_OTP,true,78.165.68.161,0.69
C001154,TX0000789,ORDENANTE,PASSWORD,true,128.78.227.175,0.59
C000079,TX0004604,ORDENANTE,SMS_OTP,true,95.111.121.92,0.82
C000965,TX0006086,ORDENANTE,BIOMETRIA,true,45.23.219.244,0.34
C000459,TX0007955,ORDENANTE,BIOMETRIA,true,43.136.56.100,0.37
C000537,TX0003579,ORDENANTE,BIOMETRIA,true,55.238.164.120,0.58
C000171,TX0006518,ORDENANTE,BIOMETRIA,true,57.178.11.248,0.69
C001076,TX0000163,ORDENANTE,SMS_OTP,true,143.155.236.80,0.64
C000192,TX0001662,ORDENANTE,BIOMETRIA,true,35.113.254.170,0.52
C000809,TX0000367,ORDENANTE,BIOMETRIA,true,149.214.133.207,0.70
C000807,TX0004080,ORDENANTE,SIN_FACTOR,true,31.198.49.254,0.26
C000201,TX0007230,ORDENANTE,PASSWORD,true,29.13.187.78,0.39
C000926,TX0007012,ORDENANTE,BIOMETRIA,true,60.201.39.204,0.51
C001041,TX0005769,ORDENANTE,SIN_FACTOR,true,99.100.95.157,0.17
C000676,TX0007042,ORDENANTE,SIN_FACTOR,true,28.234.167.182,0.69
C000771,TX0006711,ORDENANTE,SMS_OTP,true,71.213.204.176,0.48
C000576,TX0002029,ORDENANTE,SMS_OTP,true,35.217.150.243,0.78
C001055,TX0000307,ORDENANTE,TOKEN_APP,true,47.207.205.145,0.27
C000156,TX0007787,ORDENANTE,SMS_OTP,true,62.29.27.211,0.59
C000006,TX0007361,ORDENANTE,TOKEN_APP,true,185.230.77.77,0.52
C000460,TX0003028,ORDENANTE,SMS_OTP,true,92.136.124.68,0.39
C000027,TX0006355,ORDENANTE,PASSWORD,true,110.37.73.138,0.53
C000432,TX0002657,ORDENANTE,BIOMETRIA,true,96.216.192.140,0.67
C000648,TX0008574,ORDENANTE,TOKEN_APP,true,156.192.224.104,0.65
C000945,TX0004907,ORDENANTE,SMS_OTP,true,101.4.232.4,0.65
C000307,TX0000421,ORDENANTE,SMS_OTP,true,146.101.159.202,0.47
C000959,TX0000858,ORDENANTE,TOKEN_APP,true,134.55.161.95,0.59
C000088,TX0005219,ORDENANTE,PASSWORD,true,116.6.171.159,0.51
C000570,TX0002206,ORDENANTE,TOKEN_APP,true,165.214.215.66,0.59
C000073,TX0007242,ORDENANTE,PASSWORD,true,173.227.240.101,0.56
C000365,TX0001295,ORDENANTE,SMS_OTP,true,150.69.181.199,0.55
C000754,TX0002265,ORDENANTE,SMS_OTP,true,177.237.80.82,0.66
C000813,TX0002857,ORDENANTE,SMS_OTP,true,196.229.10.67,0.57
C000034,TX0003731,ORDENANTE,TOKEN_APP,true,138.76.146.252,0.58
C000295,TX0005761,ORDENANTE,BIOMETRIA,true,56.242.225.110,0.54
C001168,TX0001839,ORDENANTE,SMS_OTP,true,196.229.10.67,0.49
C000726,TX0006044,ORDENANTE,TOKEN_APP,true,72.87.71.142,0.31
C000964,TX0008758,ORDENANTE,PASSWORD,true,107.241.38.235,0.33
C001192,TX0001407,ORDENANTE,PASSWORD,true,23.251.143.140,0.48
C000034,TX0003015,ORDENANTE,TOKEN_APP,true,138.76.146.252,0.67
C000007,TX0005892,ORDENANTE,TOKEN_APP,true,65.42.94.64,0.51
C000671,TX0000575,ORDENANTE,SMS_OTP,true,143.197.40.168,0.54
C000177,TX0006123,ORDENANTE,BIOMETRIA,true,183.187.149.212,0.46
C000883,TX0004351,ORDENANTE,TOKEN_APP,true,161.99.225.227,0.49
